X, Y, campo
9.98021, 49.2446, 2.18253e-10
9.99883, 49.4498, 1.58827e-10
9.98873, 49.3671, 1.82536e-10
9.97581, 49.1884, 2.36099e-10
9.99833, 49.5434, 1.32063e-10
10.0034, 49.5893, 1.17455e-10
10.006, 49.7633, 6.64301e-11
10.0022, 50.3979, 1.14701e-10
10.0165, 49.9027, 2.77727e-11
10.0236, 49.7804, 6.13076e-11
10.0099, 49.6595, 9.86159e-11
9.99934, 49.4857, 1.4922e-10
9.96694, 49.0132, 2.82028e-10
10.0087, 49.9476, 1.33769e-11
7.06368, 42.9092, 1.43976e-09
8.6259, 55.0792, 1.23093e-09
8.6531, 55.0298, 1.22136e-09
8.75977, 54.8623, 1.19239e-09
8.71418, 54.9233, 1.20483e-09
8.77692, 54.8249, 1.19052e-09
8.6838, 54.9767, 1.21307e-09
8.3769, 55.4925, 1.29404e-09
8.4056, 55.4333, 1.28929e-09
8.56963, 55.1767, 1.24624e-09
8.49977, 55.3051, 1.26606e-09
8.47543, 55.3367, 1.27199e-09
8.52963, 55.2438, 1.25855e-09
8.43588, 55.3919, 1.28294e-09
8.59465, 55.1365, 1.23969e-09
9.08306, 54.204, 1.07367e-09
9.10339, 54.1598, 1.06706e-09
9.19417, 53.9802, 1.02827e-09
9.15478, 54.0454, 1.04451e-09
9.20758, 53.9414, 1.02371e-09
9.12979, 54.1015, 1.05603e-09
8.86739, 54.6483, 1.15641e-09
8.84436, 54.6853, 1.16368e-09
8.89971, 54.5944, 1.14455e-09
9.02748, 54.322, 1.09695e-09
8.97599, 54.4436, 1.12135e-09
8.95085, 54.494, 1.12591e-09
9.0043, 54.3734, 1.10557e-09
8.92222, 54.5383, 1.13621e-09
9.05621, 54.2649, 1.08597e-09
8.81332, 54.75, 1.17179e-09
7.52105, 56.6162, 1.41233e-09
7.42458, 56.7223, 1.41987e-09
7.46675, 56.6776, 1.41493e-09
7.67801, 56.4254, 1.39016e-09
7.60124, 56.5113, 1.40866e-09
7.63774, 56.4684, 1.40088e-09
7.55042, 56.5806, 1.41165e-09
7.17212, 56.991, 1.41825e-09
7.10164, 57.0528, 1.41928e-09
7.14086, 57.0249, 1.41553e-09
7.34081, 56.8035, 1.41676e-09
7.26428, 56.8897, 1.41505e-09
7.30885, 56.8455, 1.41318e-09
7.21355, 56.9403, 1.41696e-09
7.38691, 56.7555, 1.41675e-09
8.09018, 55.9092, 1.34797e-09
8.12077, 55.857, 1.34278e-09
8.29632, 55.6111, 1.31238e-09
8.22482, 55.7221, 1.32686e-09
8.20336, 55.7461, 1.32693e-09
8.26658, 55.6451, 1.31567e-09
8.18013, 55.7946, 1.33074e-09
7.83103, 56.2413, 1.38462e-09
7.75874, 56.3227, 1.38703e-09
7.79529, 56.2799, 1.38556e-09
