 X,    Y,   COH  
    0.30000E+02,    0.80000E+01,    0.96750E+73
    0.32000E+02,    0.80000E+01,    0.11216E+74
    0.34000E+02,    0.80000E+01,    0.13080E+74
    0.36000E+02,    0.80000E+01,    0.15341E+74
    0.38000E+02,    0.80000E+01,    0.18085E+74
    0.40000E+02,    0.80000E+01,    0.21419E+74
    0.42000E+02,    0.80000E+01,    0.25528E+74
    0.44000E+02,    0.80000E+01,    0.30997E+74
    0.46000E+02,    0.80000E+01,    0.39624E+74
    0.48000E+02,    0.80000E+01,    0.55403E+74
    0.50000E+02,    0.80000E+01,    0.84928E+74
    0.00000E+00,    0.10000E+02,    0.98031E+72
    0.20000E+01,    0.10000E+02,    0.85492E+72
    0.40000E+01,    0.10000E+02,    0.83605E+72
    0.60000E+01,    0.10000E+02,    0.84887E+72
    0.80000E+01,    0.10000E+02,    0.88151E+72
    0.10000E+02,    0.10000E+02,    0.93038E+72
    0.12000E+02,    0.10000E+02,    0.99502E+72
    0.14000E+02,    0.10000E+02,    0.10764E+73
    0.16000E+02,    0.10000E+02,    0.11764E+73
    0.18000E+02,    0.10000E+02,    0.12973E+73
    0.20000E+02,    0.10000E+02,    0.14425E+73
    0.22000E+02,    0.10000E+02,    0.16157E+73
    0.24000E+02,    0.10000E+02,    0.18221E+73
    0.26000E+02,    0.10000E+02,    0.20680E+73
    0.28000E+02,    0.10000E+02,    0.23610E+73
    0.30000E+02,    0.10000E+02,    0.27109E+73
    0.32000E+02,    0.10000E+02,    0.31297E+73
    0.34000E+02,    0.10000E+02,    0.36322E+73
    0.36000E+02,    0.10000E+02,    0.42363E+73
    0.38000E+02,    0.10000E+02,    0.49647E+73
    0.40000E+02,    0.10000E+02,    0.58523E+73
    0.42000E+02,    0.10000E+02,    0.69818E+73
    0.44000E+02,    0.10000E+02,    0.85851E+73
    0.46000E+02,    0.10000E+02,    0.11221E+74
    0.48000E+02,    0.10000E+02,    0.15960E+74
    0.50000E+02,    0.10000E+02,    0.24485E+74
    0.00000E+00,    0.12000E+02,    0.28057E+72
    0.20000E+01,    0.12000E+02,    0.24453E+72
    0.40000E+01,    0.12000E+02,    0.23878E+72
    0.60000E+01,    0.12000E+02,    0.24209E+72
    0.80000E+01,    0.12000E+02,    0.25115E+72
    0.10000E+02,    0.12000E+02,    0.26493E+72
    0.12000E+02,    0.12000E+02,    0.28324E+72
    0.14000E+02,    0.12000E+02,    0.30631E+72
    0.16000E+02,    0.12000E+02,    0.33460E+72
    0.18000E+02,    0.12000E+02,    0.36878E+72
    0.20000E+02,    0.12000E+02,    0.40971E+72
    0.22000E+02,    0.12000E+02,    0.45844E+72
    0.24000E+02,    0.12000E+02,    0.51631E+72
    0.26000E+02,    0.12000E+02,    0.58494E+72
