  x,     y,   camp
    0.65883E+01,    0.35070E+02,    0.81399E-02
    0.71412E+01,    0.38637E+02,    0.83153E-02
    0.56614E+01,    0.38742E+02,    0.68807E-02
    0.66332E+01,    0.37710E+02,    0.76291E-02
    0.58522E+01,    0.37873E+02,    0.76600E-02
    0.46574E+01,    0.37931E+02,    0.68237E-02
    0.12714E+02,    0.47449E+02,    0.11958E-01
    0.12125E+02,    0.47049E+02,    0.12349E-01
    0.11473E+02,    0.46314E+02,    0.12361E-01
    0.11987E+02,    0.46497E+02,    0.12048E-01
    0.11469E+02,    0.42942E+02,    0.10930E-01
    0.11332E+02,    0.44398E+02,    0.11210E-01
    0.10795E+02,    0.43397E+02,    0.10690E-01
    0.10827E+02,    0.44029E+02,    0.11463E-01
    0.13445E+02,    0.42897E+02,    0.10830E-01
    0.14462E+02,    0.43828E+02,    0.10673E-01
    0.12283E+02,    0.43380E+02,    0.10622E-01
    0.12115E+02,    0.44204E+02,    0.11281E-01
    0.87547E+01,    0.40834E+02,    0.91688E-02
    0.88713E+01,    0.40038E+02,    0.91928E-02
    0.98093E+01,    0.39610E+02,    0.92331E-02
    0.10508E+02,    0.40324E+02,    0.98889E-02
    0.11197E+02,    0.44963E+02,    0.11826E-01
    0.11276E+02,    0.45851E+02,    0.12145E-01
    0.11540E+02,    0.45410E+02,    0.11819E-01
    0.10223E+02,    0.43157E+02,    0.11036E-01
    0.98060E+01,    0.43477E+02,    0.10862E-01
    0.92711E+01,    0.42941E+02,    0.10496E-01
    0.93932E+01,    0.43293E+02,    0.11150E-01
    0.97910E+01,    0.44832E+02,    0.12305E-01
    0.98068E+01,    0.43849E+02,    0.11428E-01
    0.10006E+02,    0.44160E+02,    0.11724E-01
    0.19832E+02,    0.57959E+02,    0.10242E-01
    0.19995E+02,    0.55381E+02,    0.10549E-01
    0.13551E+02,    0.48849E+02,    0.11932E-01
    0.12410E+02,    0.49485E+02,    0.12705E-01
    0.13448E+02,    0.49681E+02,    0.12184E-01
    0.12759E+02,    0.49925E+02,    0.12209E-01
    0.97770E+01,    0.60411E+02,    0.92082E-02
    0.88846E+01,    0.62168E+02,    0.89303E-02
    0.10013E+02,    0.61678E+02,    0.92470E-02
    0.10126E+02,    0.50063E+02,    0.14989E-01
    0.10131E+02,    0.49941E+02,    0.14978E-01
    0.10160E+02,    0.50004E+02,    0.14779E-01
    0.14558E+02,    0.51608E+02,    0.11632E-01
    0.12945E+02,    0.51285E+02,    0.12147E-01
    0.13626E+02,    0.51078E+02,    0.11981E-01
    0.10231E+02,    0.50103E+02,    0.14701E-01
    0.10287E+02,    0.50153E+02,    0.14547E-01
    0.10131E+02,    0.50185E+02,    0.14736E-01
    0.10161E+02,    0.50123E+02,    0.14743E-01
    0.25149E+00,    0.37720E+02,    0.46620E-02
    0.26633E+01,    0.36043E+02,    0.64559E-02
    0.35653E+00,    0.36806E+02,    0.57176E-02
    0.60803E+00,    0.37333E+02,    0.49944E-02
    0.89105E+00,    0.36243E+02,    0.61146E-02
    0.17122E+01,    0.36440E+02,    0.64709E-02
    0.66292E+01,    0.62380E+02,    0.76357E-02
    0.80709E+01,    0.41541E+02,    0.92426E-02
    0.83252E+01,    0.41879E+02,    0.10028E-01
    0.81197E+01,    0.42205E+02,    0.97582E-02
    0.58845E+01,    0.39237E+02,    0.72885E-02
    0.37462E+01,    0.38575E+02,    0.54846E-02
    0.12631E+02,    0.48031E+02,    0.12441E-01
    0.12881E+02,    0.48597E+02,    0.12183E-01
    0.12429E+02,    0.48990E+02,    0.12521E-01
    0.10875E+02,    0.47403E+02,    0.13319E-01
    0.14150E+02,    0.45815E+02,    0.11419E-01
    0.13834E+02,    0.44906E+02,    0.11059E-01
    0.13215E+02,    0.46331E+02,    0.11455E-01
    0.12459E+02,    0.46063E+02,    0.11878E-01
    0.12208E+02,    0.45439E+02,    0.11628E-01
    0.12648E+02,    0.44798E+02,    0.11266E-01
    0.92316E+01,    0.41343E+02,    0.99118E-02
    0.88947E+01,    0.41891E+02,    0.95919E-02
