  x,     y,   camp
    0.11198E+02,    0.46297E+02,    0.26665E-13
    0.11511E+02,    0.46508E+02,    0.25899E-13
    0.11399E+02,    0.45733E+02,    0.25760E-13
    0.11126E+02,    0.45948E+02,    0.25782E-13
    0.11812E+02,    0.45867E+02,    0.24786E-13
    0.11852E+02,    0.46293E+02,    0.25873E-13
    0.10840E+02,    0.45855E+02,    0.26664E-13
    0.10701E+02,    0.45618E+02,    0.26256E-13
    0.10405E+02,    0.45668E+02,    0.26396E-13
    0.10367E+02,    0.45971E+02,    0.27712E-13
    0.10609E+02,    0.46074E+02,    0.26810E-13
    0.96765E+01,    0.44480E+02,    0.25789E-13
    0.99645E+01,    0.44531E+02,    0.24735E-13
    0.11559E+02,    0.45046E+02,    0.24615E-13
    0.11296E+02,    0.45392E+02,    0.24980E-13
    0.10735E+02,    0.45129E+02,    0.25182E-13
    0.10884E+02,    0.45369E+02,    0.25735E-13
    0.13963E+02,    0.48116E+02,    0.24948E-13
    0.12988E+02,    0.48724E+02,    0.26065E-13
    0.13162E+02,    0.48192E+02,    0.24860E-13
    0.11668E+02,    0.47606E+02,    0.27161E-13
    0.11026E+02,    0.48041E+02,    0.29022E-13
    0.12467E+02,    0.51196E+02,    0.26057E-13
    0.11030E+02,    0.51954E+02,    0.29032E-13
    0.11607E+02,    0.50677E+02,    0.28114E-13
    0.11101E+02,    0.52248E+02,    0.27935E-13
    0.11847E+02,    0.51056E+02,    0.27774E-13
    0.11594E+02,    0.50949E+02,    0.27934E-13
    0.11401E+02,    0.51112E+02,    0.28664E-13
    0.10171E+02,    0.57723E+02,    0.21250E-13
    0.96525E+01,    0.58131E+02,    0.20503E-13
    0.11473E+02,    0.57097E+02,    0.22547E-13
    0.15974E+02,    0.63745E+02,    0.19856E-13
    0.13341E+01,    0.38965E+02,    0.39577E-14
    0.81313E+00,    0.38900E+02,    0.26443E-14
    0.10699E+01,    0.38803E+02,    0.30236E-14
    0.37067E+00,    0.37838E+02,    0.53214E-14
