tita, campo[?]
4.962772, 1.606300e-18
5.076955, 1.620800e-18
5.092184, 1.507500e-18
5.098851, 1.528700e-18
5.100625, 1.493400e-18
5.154726, 1.572400e-18
5.156116, 1.545900e-18
5.165382, 1.604300e-18
5.227799, 1.622500e-18
5.253069, 1.586900e-18
5.275444, 1.490500e-18
5.283713, 1.508600e-18
5.324215, 1.524200e-18
5.337397, 1.603400e-18
5.375676, 1.572700e-18
5.376533, 1.546100e-18
5.423937, 1.619800e-18
5.448497, 1.492600e-18
5.456975, 1.505000e-18
5.490476, 1.522500e-18
5.557531, 1.599200e-18
5.582362, 1.622100e-18
5.614732, 1.489200e-18
5.615511, 1.505000e-18
5.652894, 1.543100e-18
5.656806, 1.575900e-18
5.697387, 1.520000e-18
5.776784, 1.501300e-18
5.783444, 1.619100e-18
5.791615, 1.491000e-18
5.792005, 1.559500e-18
5.793157, 1.604600e-18
5.806736, 1.533500e-18
5.824730, 1.514000e-18
5.866627, 1.586800e-18
5.935441, 1.618600e-18
5.941018, 1.502500e-18
5.956729, 1.487500e-18
6.026093, 1.513500e-18
6.058676, 1.534800e-18
6.092901, 1.500100e-18
6.129226, 1.615800e-18
6.138055, 1.591000e-18
6.141778, 1.490000e-18
6.150178, 1.517100e-18
6.157255, 1.559900e-18
6.261254, 1.502500e-18
6.269263, 1.538400e-18
6.294368, 1.574600e-18
6.294380, 1.486800e-18
6.303898, 1.618800e-18
6.316663, 1.595000e-18
6.366235, 1.519000e-18
6.409083, 1.501100e-18
6.480630, 1.488800e-18
6.503324, 1.615900e-18
6.526279, 1.542900e-18
6.530802, 1.516900e-18
6.551519, 1.598600e-18
6.567508, 1.569700e-18
6.569475, 1.503800e-18
6.608557, 1.487800e-18
6.684954, 1.618800e-18
6.719934, 1.596400e-18
6.749747, 1.501200e-18
6.754570, 1.519800e-18
6.776238, 1.488600e-18
6.803725, 1.538600e-18
6.830593, 1.573900e-18
6.860947, 1.615600e-18
6.873863, 1.499100e-18
6.882378, 1.486400e-18
6.944786, 1.520100e-18
6.947335, 1.548900e-18
6.951913, 1.598700e-18
7.035036, 1.618700e-18
7.044893, 1.500200e-18
7.045668, 1.577000e-18
7.063771, 1.484200e-18
7.090697, 1.602000e-18
7.163175, 1.524500e-18
7.191958, 1.500500e-18
7.205926, 1.615600e-18
7.211935, 1.486100e-18
7.304789, 1.602200e-18
7.310156, 1.578600e-18
7.327120, 1.549600e-18
7.366303, 1.617200e-18
7.376653, 1.502500e-18
