X, Y, V
9.476, 49.752, nan
9.997, 49.751, nan
9.687, 45.691, nan
10.315, 45.51, nan
9.853, 46.195, nan
9.985, 46.657, nan
10.207, 47.099, nan
9.752, 47.774, nan
9.851, 48.263, nan
9.754, 47.774, nan
10.332, 47.636, nan
9.925, 48.756, nan
9.975, 49.253, nan
4.555, 37.555, nan
6.049, 38.891, nan
6.148, 37.493, nan
8.021, 40.027, nan
7.429, 39.359, nan
8.694, 40.048, nan
7.438, 50.19, nan
7.951, 50.203, nan
7.46, 50.657, nan
8.464, 50.213, nan
8.973, 50.225, nan
7.445, 51.081, nan
9.745, 42.815, nan
10.201, 43.145, nan
2.055, 34.123, nan
4.191, 35.958, nan
4.036, 34.01, nan
9.606, 42.272, nan
5.062, 52.604, nan
2.022, 32.032, nan
2.032, 30.008, nan
2.084, 28, nan
7.33, 51.514, nan
7.274, 52.007, nan
0, 25.997, nan
2.106, 25.992, nan
9.254, 41.464, nan
9.711, 41.594, nan
9.356, 40.631, nan
9.319, 41.063, nan
9.296, 40.098, nan
0, 23.997, nan
0, 21.997, nan
0, 19.997, nan
0, 53.333, nan
0, 17.998, nan
5.68, 52.68, nan
6.215, 52.512, nan
6.737, 52.48, nan
7.246, 52.495, nan
1.008, 53.449, nan
1.817, 53.191, nan
2.547, 53.116, nan
3.224, 53.105, nan
3.873, 53.146, nan
4.463, 53.198, nan
5.022, 53.245, nan
10.991, 43.978, nan
10.979, 44.744, nan
11.009, 45.464, nan
11.032, 43.174, nan
10.392, 46.089, nan
10.423, 46.521, nan
9.712, 41.094, nan
9.999, 49.751, nan
9.479, 50.237, nan
9.997, 50.249, nan
9.999, 50.249, nan
11.005, 46.132, nan
10.846, 46.817, nan
10.97, 47.507, nan
9.853, 48.263, nan
9.927, 48.756, nan
10.417, 48.173, nan
11.01, 48.104, nan
9.977, 49.252, nan
10.002, 49.751, nan
6.017, 35.806, nan
8.712, 39.391, nan
8.844, 38.525, nan
7.974, 37.697, nan
