X, Y, campo
0.745232, 40.019, 0
0.816656, 40.0246, 0
0.784368, 39.9946, 0
0.870205, 40.0291, 0
0.931369, 40.0347, 0
0.992644, 40.0391, 0
1.05868, 40.0474, 0
1.12432, 40.0477, 0
1.17484, 40.0566, 0
1.23662, 40.0679, 0
1.29971, 40.069, 0
1.3678, 40.0813, 0
1.4185, 40.0884, 0
1.47746, 40.1009, 0
1.56325, 40.1071, 0
1.62364, 40.1186, 0
1.66446, 40.1306, 0
1.72247, 40.1406, 0
1.7832, 40.1499, 0
1.86598, 40.1597, 0
1.90617, 40.1744, 0
1.9589, 40.1848, 0
2.01909, 40.197, 0
2.10691, 40.2085, 0
2.16657, 40.2233, 0
2.20667, 40.2375, 0
2.26474, 40.2477, 0
2.32167, 40.2627, 0
2.38847, 40.2804, 0
2.44063, 40.2933, 0
2.49269, 40.3066, 0
2.56215, 40.3193, 0
2.64368, 40.3414, 0
2.68796, 40.3589, 0
2.74707, 40.3756, 0
2.82151, 40.39, 0
2.85748, 40.4038, 0
2.9176, 40.4173, 0
2.97023, 40.4421, 0
3.02763, 40.4515, 0
3.09353, 40.4726, 0
3.15779, 40.5024, 0
3.21358, 40.5212, 0
3.26973, 40.5389, 0
3.33364, 40.5539, 0
3.37549, 40.5776, 0
3.46573, 40.599, 0
3.51617, 40.6178, 0
3.57112, 40.6426, 0
3.61468, 40.6578, 0
3.67719, 40.6912, 0
3.73477, 40.7126, 0
3.78405, 40.7341, 0
3.83847, 40.7565, 0
3.89041, 40.7782, 0
3.97934, 40.8047, 0
4.02866, 40.8262, 0
4.08215, 40.854, 0
4.12481, 40.8716, 0
4.18539, 40.9084, 0
4.25953, 40.9311, 0
4.29907, 40.9524, 0
4.35203, 40.9869, 0
4.40036, 41.0104, 0
4.46001, 41.0399, 0
4.50807, 41.0639, 0
4.55827, 41.0894, 0
4.61579, 41.1175, 0
4.69648, 41.1537, 0
4.74984, 41.1843, 0
4.79198, 41.2086, 0
4.83686, 41.2359, 0
4.89206, 41.2683, 0
4.93888, 41.2946, 0
5.01802, 41.3341, 0
5.05434, 41.3532, 0
5.09691, 41.3818, 0
5.15617, 41.4199, 0
5.2301, 41.4584, 0
5.28148, 41.4921, 0
5.31989, 41.5177, 0
5.3644, 41.5502, 0
5.414, 41.5819, 0
