X, Y, corriente
4.84649, 58.763, 1.38684e-09
4.74853, 58.8106, 1.35776e-09
4.79725, 58.7877, 1.37199e-09
5.12027, 58.5999, 1.45064e-09
4.99533, 58.6854, 1.42907e-09
4.94178, 58.7053, 1.42042e-09
5.05858, 58.6363, 1.44102e-09
4.88983, 58.733, 1.40404e-09
5.1739, 58.5773, 1.45355e-09
4.68905, 58.8459, 1.34131e-09
5.57228, 58.3142, 1.58024e-09
7.01091, 57.143, 2.0024e-09
6.09483, 42.0592, 1.77223e-09
7.14837, 42.9946, 2.07304e-09
7.10705, 42.9527, 2.05931e-09
7.19522, 43.0382, 2.08285e-09
7.33452, 43.1795, 2.11831e-09
7.2962, 43.133, 2.10987e-09
7.40833, 43.2578, 2.13446e-09
7.36355, 43.2155, 2.12554e-09
7.24087, 43.0902, 2.09791e-09
7.4903, 43.3614, 2.1559e-09
7.53118, 43.3953, 2.16713e-09
7.65304, 43.5438, 2.21114e-09
7.61166, 43.4882, 2.19508e-09
7.68549, 43.5884, 2.22278e-09
7.56282, 43.4442, 2.17641e-09
7.4531, 43.314, 2.14394e-09
7.80783, 43.7248, 2.25499e-09
7.76734, 43.6818, 2.24247e-09
7.84907, 43.7836, 2.27229e-09
7.9537, 43.9243, 2.31262e-09
7.92098, 43.8817, 2.30587e-09
8.03395, 44.0193, 2.33849e-09
8.00806, 43.9875, 2.33055e-09
7.88707, 43.8319, 2.28915e-09
8.10389, 44.1172, 2.35975e-09
8.13931, 44.1753, 2.37226e-09
8.24831, 44.3162, 2.39651e-09
8.20725, 44.2714, 2.38686e-09
8.31558, 44.4298, 2.41307e-09
8.2819, 44.3676, 2.40255e-09
0.812356, 39.9986, 2.90838e-10
8.194, 44.2339, 2.38535e-09
8.05964, 44.0656, 2.34664e-09
7.73896, 43.6421, 2.23478e-09
8.3749, 44.5195, 2.41928e-09
8.41096, 44.5723, 2.42643e-09
8.51093, 44.7332, 2.45869e-09
8.49977, 44.6949, 2.45342e-09
8.57359, 44.8358, 2.47561e-09
8.54308, 44.7855, 2.4681e-09
8.4484, 44.6334, 2.43986e-09
8.6415, 44.9502, 2.49429e-09
8.68544, 45.0047, 2.50372e-09
8.7657, 45.152, 2.53036e-09
8.73316, 45.1027, 2.51851e-09
8.79111, 45.2155, 2.54738e-09
8.71197, 45.0588, 2.51129e-09
8.60908, 44.8891, 2.48192e-09
8.87295, 45.369, 2.57061e-09
8.85345, 45.3142, 2.56468e-09
8.91029, 45.4232, 2.57946e-09
8.99857, 45.6023, 2.60818e-09
8.95897, 45.5377, 2.59665e-09
9.04649, 45.6987, 2.62248e-09
9.01592, 45.6452, 2.6144e-09
8.9377, 45.4868, 2.58803e-09
9.09485, 45.8216, 2.63923e-09
9.12413, 45.8659, 2.64231e-09
9.19764, 46.0434, 2.66373e-09
9.17417, 45.9782, 2.65543e-09
9.21574, 46.0955, 2.66888e-09
9.14022, 45.9218, 2.64597e-09
9.06796, 45.7635, 2.63279e-09
8.82151, 45.2717, 2.55875e-09
8.34536, 44.4746, 2.41539e-09
9.29322, 46.2615, 2.68186e-09
9.26696, 46.2086, 2.67595e-09
9.31468, 46.3274, 2.69285e-09
9.3749, 46.4948, 2.71598e-09
9.35595, 46.4445, 2.71422e-09
9.42412, 46.6089, 2.72998e-09
9.40858, 46.571, 2.72627e-09
9.33704, 46.3846, 2.70272e-09
9.46261, 46.723, 2.74065e-09
9.47966, 46.7888, 2.74873e-09
9.54307, 46.9553, 2.75751e-09
9.51676, 46.9005, 2.75401e-09
9.55792, 47.0123, 2.75847e-09
9.51499, 46.8607, 2.75456e-09
9.43527, 46.6607, 2.7345e-09
9.6052, 47.1866, 2.77482e-09
9.58996, 47.135, 2.7717e-09
9.62435, 47.2476, 2.78055e-09
9.67333, 47.4306, 2.8002e-09
9.67376, 47.3907, 2.7974e-09
9.64245, 47.317, 2.79047e-09
9.68891, 47.49, 2.80694e-09
9.7035, 47.547, 2.81175e-09
9.57445, 47.0836, 2.77058e-09
9.72198, 47.6083, 2.81467e-09
9.76151, 47.741, 2.82052e-09
9.73527, 47.6762, 2.82012e-09
9.77817, 47.8462, 2.81993e-09
9.80595, 47.9764, 2.82132e-09
9.79555, 47.9053, 2.82004e-09
9.77119, 47.8005, 2.82125e-09
9.8142, 48.0361, 2.82394e-09
9.25131, 46.1624, 2.67423e-09
9.83245, 48.086, 2.82093e-09
9.85519, 48.2068, 2.82664e-09
9.83518, 48.1441, 2.8223e-09
9.86854, 48.3305, 2.83979e-09
9.89224, 48.4524, 2.84672e-09
9.88767, 48.4038, 2.84586e-09
9.86296, 48.2756, 2.83392e-09
9.91159, 48.5815, 2.85627e-09
9.93131, 48.6925, 2.86055e-09
9.91616, 48.6416, 2.86222e-09
9.94661, 48.8145, 2.86727e-09
9.95234, 48.9388, 2.87803e-09
9.95014, 48.8837, 2.87357e-09
9.93048, 48.7507, 2.86286e-09
9.90556, 48.5099, 2.85016e-09
9.96852, 49.0619, 2.8773e-09
9.9783, 49.1201, 2.87833e-09
9.9852, 49.3135, 2.89008e-09
9.98021, 49.2446, 2.88594e-09
9.99883, 49.4498, 2.89108e-09
9.98873, 49.3671, 2.888e-09
9.97581, 49.1884, 2.88665e-09
9.99833, 49.5434, 2.89129e-09
10.0034, 49.5893, 2.89077e-09
10.006, 49.7633, 2.89208e-09
10.0022, 50.3979, 2.87809e-09
10.0165, 49.9027, 2.88723e-09
10.0236, 49.7804, 2.88441e-09
10.0099, 49.6595, 2.88838e-09
9.99934, 49.4857, 2.88927e-09
9.96694, 49.0132, 2.87948e-09
10.0087, 49.9476, 2.89185e-09
7.06368, 42.9092, 2.04432e-09
8.6259, 55.0792, 2.44309e-09
8.6531, 55.0298, 2.44942e-09
8.75977, 54.8623, 2.47739e-09
8.71418, 54.9233, 2.46905e-09
8.77692, 54.8249, 2.48657e-09
8.6838, 54.9767, 2.45892e-09
8.3769, 55.4925, 2.37802e-09
8.4056, 55.4333, 2.39059e-09
8.56963, 55.1767, 2.42865e-09
8.49977, 55.3051, 2.41281e-09
8.47543, 55.3367, 2.40553e-09
8.52963, 55.2438, 2.42076e-09
8.43588, 55.3919, 2.39925e-09
8.59465, 55.1365, 2.43572e-09
9.08306, 54.204, 2.57602e-09
9.10339, 54.1598, 2.58809e-09
9.19417, 53.9802, 2.6094e-09
9.15478, 54.0454, 2.60546e-09
9.20758, 53.9414, 2.616e-09
9.12979, 54.1015, 2.5974e-09
8.86739, 54.6483, 2.50943e-09
8.84436, 54.6853, 2.50059e-09
8.89971, 54.5944, 2.51584e-09
9.02748, 54.322, 2.56203e-09
8.97599, 54.4436, 2.54402e-09
8.95085, 54.494, 2.53259e-09
9.0043, 54.3734, 2.55258e-09
8.92222, 54.5383, 2.52405e-09
9.05621, 54.2649, 2.56792e-09
8.81332, 54.75, 2.48833e-09
7.52105, 56.6162, 2.15478e-09
7.42458, 56.7223, 2.13169e-09
7.46675, 56.6776, 2.14094e-09
7.67801, 56.4254, 2.18243e-09
7.60124, 56.5113, 2.17777e-09
7.63774, 56.4684, 2.18065e-09
7.55042, 56.5806, 2.16649e-09
7.17212, 56.991, 2.04499e-09
7.10164, 57.0528, 2.02664e-09
7.14086, 57.0249, 2.03379e-09
7.34081, 56.8035, 2.09953e-09
7.26428, 56.8897, 2.07109e-09
7.30885, 56.8455, 2.08293e-09
7.21355, 56.9403, 2.05778e-09
7.38691, 56.7555, 2.11492e-09
8.09018, 55.9092, 2.30536e-09
8.12077, 55.857, 2.31166e-09
8.29632, 55.6111, 2.35904e-09
8.22482, 55.7221, 2.34243e-09
8.20336, 55.7461, 2.33207e-09
8.26658, 55.6451, 2.35035e-09
8.18013, 55.7946, 2.32284e-09
7.83103, 56.2413, 2.23746e-09
7.75874, 56.3227, 2.21066e-09
7.79529, 56.2799, 2.22443e-09
8.0246, 55.9817, 2.29029e-09
7.93886, 56.1127, 2.26897e-09
7.89698, 56.1515, 2.26125e-09
7.97849, 56.0431, 2.27955e-09
7.85959, 56.197, 2.25286e-09
8.04773, 55.9622, 2.29794e-09
7.71729, 56.3781, 2.18973e-09
8.3298, 55.5489, 2.36931e-09
9.91482, 51.3957, 2.84216e-09
9.91893, 51.3381, 2.85082e-09
9.95061, 51.1396, 2.85632e-09
9.94159, 51.2158, 2.85842e-09
9.95097, 51.0739, 2.85949e-09
9.93722, 51.2618, 2.85076e-09
9.84115, 51.8687, 2.79571e-09
9.84362, 51.8106, 2.79674e-09
9.89835, 51.5032, 2.83225e-09
9.88022, 51.6416, 2.8213e-09
9.86901, 51.6852, 2.81233e-09
9.88706, 51.5805, 2.82812e-09
9.85844, 51.7677, 2.80319e-09
9.90213, 51.4572, 2.84179e-09
10.0067, 50.4249, 2.88187e-09
10.0434, 49.7265, 2.87935e-09
10.0134, 50.21, 2.87944e-09
10.0155, 50.0563, 2.88836e-09
10.0083, 50.0934, 2.88505e-09
10.0088, 49.9936, 2.89551e-09
10.0053, 50.3135, 2.88115e-09
9.9719, 50.8934, 2.86794e-09
9.9655, 50.9622, 2.86409e-09
9.97348, 50.8396, 2.87117e-09
9.99583, 50.5359, 2.88027e-09
9.98675, 50.6635, 2.88289e-09
9.99344, 50.7115, 2.87647e-09
9.99108, 50.5946, 2.87972e-09
9.98041, 50.7529, 2.87532e-09
10.0067, 50.2034, 2.88202e-09
9.96019, 51.0157, 2.86171e-09
9.45243, 53.3114, 2.69356e-09
9.46729, 53.2475, 2.7023e-09
9.53415, 53.058, 2.7158e-09
9.50722, 53.1286, 2.71454e-09
9.55085, 52.9975, 2.72362e-09
9.48784, 53.1869, 2.71067e-09
9.2803, 53.7567, 2.63457e-09
9.26102, 53.7959, 2.62577e-09
9.30601, 53.6926, 2.64282e-09
9.41079, 53.4189, 2.67922e-09
9.36832, 53.5424, 2.66551e-09
9.34823, 53.595, 2.65396e-09
9.38961, 53.4697, 2.67468e-09
9.29748, 53.7057, 2.64513e-09
9.43063, 53.3567, 2.6866e-09
9.73647, 52.3544, 2.76895e-09
9.74059, 52.3014, 2.78737e-09
9.8066, 52.0015, 2.79914e-09
9.78777, 52.1244, 2.79689e-09
9.77307, 52.1592, 2.79532e-09
9.79622, 52.0516, 2.7933e-09
9.75529, 52.2444, 2.79277e-09
9.6052, 52.8134, 2.7399e-09
9.5863, 52.8879, 2.73179e-09
9.62079, 52.7846, 2.74348e-09
9.70169, 52.4882, 2.77052e-09
9.66675, 52.614, 2.75652e-09
9.68504, 52.5249, 2.76397e-09
9.64928, 52.6584, 2.75728e-09
9.64024, 52.705, 2.74716e-09
9.71668, 52.4062, 2.77084e-09
9.57686, 52.9426, 2.72389e-09
9.81821, 51.9438, 2.80059e-09
0.493454, 39.9761, 1.87108e-10
9.23646, 53.8633, 2.61482e-09
10.0382, 49.9484, 2.88644e-09
7.04223, 57.1219, 2.01048e-09
0.0324747, 60.0098, 2.63312e-11
0.638697, 40.0009, 2.27895e-10
0.166408, 39.9865, 8.72437e-11
0.0513757, 39.9847, 5.33575e-11
1.00626, 40.0013, 3.4743e-10
0.503902, 60.0119, 1.66399e-10
0.341542, 39.9971, 1.32267e-10
0.415691, 39.9999, 1.60655e-10
0.510279, 40.0043, 1.93545e-10
0.571684, 40.0062, 2.13629e-10
0.625245, 40.0108, 2.27936e-10
0.693491, 40.007, 2.50929e-10
0.745232, 40.019, 2.70661e-10
0.816656, 40.0246, 2.88623e-10
0.784368, 39.9946, 2.7857e-10
0.870205, 40.0291, 3.01589e-10
0.931369, 40.0347, 3.21991e-10
0.992644, 40.0391, 3.43887e-10
1.05868, 40.0474, 3.64673e-10
1.12432, 40.0477, 3.86251e-10
1.17484, 40.0566, 3.97734e-10
1.23662, 40.0679, 4.14867e-10
1.29971, 40.069, 4.35358e-10
1.3678, 40.0813, 4.47336e-10
1.4185, 40.0884, 4.58371e-10
1.47746, 40.1009, 4.75772e-10
1.56325, 40.1071, 4.90555e-10
1.62364, 40.1186, 5.08091e-10
1.66446, 40.1306, 5.16827e-10
1.72247, 40.1406, 5.33618e-10
1.7832, 40.1499, 5.45137e-10
1.86598, 40.1597, 5.58256e-10
1.90617, 40.1744, 5.71021e-10
1.9589, 40.1848, 5.86985e-10
2.01909, 40.197, 6.0575e-10
2.10691, 40.2085, 6.28827e-10
2.16657, 40.2233, 6.52331e-10
2.20667, 40.2375, 6.64089e-10
2.26474, 40.2477, 6.86539e-10
2.32167, 40.2627, 7.04309e-10
2.38847, 40.2804, 7.21144e-10
2.44063, 40.2933, 7.34945e-10
2.49269, 40.3066, 7.51771e-10
2.56215, 40.3193, 7.72671e-10
2.64368, 40.3414, 7.96104e-10
2.68796, 40.3589, 8.13403e-10
2.74707, 40.3756, 8.32279e-10
2.82151, 40.39, 8.58257e-10
2.85748, 40.4038, 8.76361e-10
2.9176, 40.4173, 8.93842e-10
2.97023, 40.4421, 9.10974e-10
3.02763, 40.4515, 9.31574e-10
3.09353, 40.4726, 9.57331e-10
3.15779, 40.5024, 9.83396e-10
3.21358, 40.5212, 1.01034e-09
3.26973, 40.5389, 1.02501e-09
3.33364, 40.5539, 1.05299e-09
3.37549, 40.5776, 1.0643e-09
3.46573, 40.599, 1.07604e-09
3.51617, 40.6178, 1.08562e-09
3.57112, 40.6426, 1.09928e-09
3.61468, 40.6578, 1.11654e-09
3.67719, 40.6912, 1.1358e-09
3.73477, 40.7126, 1.15579e-09
3.78405, 40.7341, 1.16721e-09
3.83847, 40.7565, 1.17903e-09
3.89041, 40.7782, 1.19081e-09
3.97934, 40.8047, 1.20445e-09
4.02866, 40.8262, 1.2133e-09
4.08215, 40.854, 1.224e-09
4.12481, 40.8716, 1.23723e-09
4.18539, 40.9084, 1.25397e-09
4.25953, 40.9311, 1.27197e-09
4.29907, 40.9524, 1.28484e-09
4.35203, 40.9869, 1.30053e-09
4.40036, 41.0104, 1.3128e-09
4.46001, 41.0399, 1.32802e-09
4.50807, 41.0639, 1.34112e-09
4.55827, 41.0894, 1.35733e-09
4.61579, 41.1175, 1.3698e-09
4.69648, 41.1537, 1.38646e-09
4.74984, 41.1843, 1.41044e-09
4.79198, 41.2086, 1.42216e-09
4.83686, 41.2359, 1.43957e-09
4.89206, 41.2683, 1.4559e-09
4.93888, 41.2946, 1.46886e-09
5.01802, 41.3341, 1.48464e-09
5.05434, 41.3532, 1.49523e-09
5.09691, 41.3818, 1.50441e-09
5.15617, 41.4199, 1.519e-09
5.2301, 41.4584, 1.52861e-09
5.28148, 41.4921, 1.54542e-09
5.31989, 41.5177, 1.55195e-09
5.3644, 41.5502, 1.56019e-09
5.414, 41.5819, 1.56822e-09
5.47253, 41.6116, 1.58367e-09
5.52645, 41.6508, 1.59648e-09
5.57121, 41.6805, 1.60868e-09
5.62107, 41.7188, 1.62626e-09
5.66547, 41.749, 1.64055e-09
5.72856, 41.7928, 1.65752e-09
5.77546, 41.8239, 1.67386e-09
5.82346, 41.858, 1.691e-09
5.88251, 41.8921, 1.707e-09
5.9159, 41.9267, 1.72399e-09
5.99631, 41.9729, 1.73961e-09
6.03933, 42.0053, 1.75109e-09
6.08495, 42.0447, 1.76468e-09
6.12239, 42.0717, 1.77798e-09
6.17283, 42.1215, 1.79715e-09
6.22242, 42.1557, 1.81135e-09
6.26307, 42.193, 1.82454e-09
6.32106, 42.2292, 1.82863e-09
6.35249, 42.2655, 1.84595e-09
6.43023, 42.3162, 1.85789e-09
6.4714, 42.3508, 1.86739e-09
6.51477, 42.3927, 1.8798e-09
6.55066, 42.4217, 1.89188e-09
6.59828, 42.4742, 1.91085e-09
6.6459, 42.5111, 1.92439e-09
6.68443, 42.5506, 1.93752e-09
6.7319, 42.5935, 1.94738e-09
6.76971, 42.628, 1.9587e-09
6.84454, 42.6828, 1.96684e-09
6.88373, 42.7196, 1.97635e-09
6.92472, 42.7639, 1.98955e-09
6.95896, 42.7948, 2.00293e-09
7.00361, 42.8498, 2.02252e-09
7.04835, 42.8919, 2.03906e-09
2.52, 59.6916, 7.64847e-10
2.59169, 59.6674, 7.8472e-10
2.65096, 59.6513, 8.02025e-10
2.42823, 59.7098, 7.40259e-10
2.47782, 59.6972, 7.57515e-10
2.77186, 59.6273, 8.32326e-10
2.83552, 59.5987, 8.54832e-10
