tita, itv [V]
129.628079, -9.482000e-02
129.979221, -9.552000e-02
130.331105, -9.622000e-02
130.684281, -9.691000e-02
131.036403, -9.760000e-02
131.389466, -9.829000e-02
131.741512, -9.898000e-02
132.092381, -9.965000e-02
132.446522, -1.003200e-01
132.797596, -1.010000e-01
133.149650, -1.016700e-01
133.502874, -1.023300e-01
133.855000, -1.030000e-01
134.208315, -1.036600e-01
134.560568, -1.043100e-01
134.911990, -1.049600e-01
135.264230, -1.056100e-01
135.617674, -1.062400e-01
135.970336, -1.068800e-01
136.320065, -1.075100e-01
136.674782, -1.081400e-01
137.026599, -1.087700e-01
137.377520, -1.093900e-01
137.729507, -1.100100e-01
138.082968, -1.106300e-01
138.434938, -1.112400e-01
138.786730, -1.118400e-01
139.139166, -1.124400e-01
139.491033, -1.130300e-01
139.843768, -1.136200e-01
140.195746, -1.142100e-01
140.549042, -1.148000e-01
140.899589, -1.153800e-01
141.253056, -1.159500e-01
141.603836, -1.165300e-01
141.955974, -1.170900e-01
142.308785, -1.176500e-01
142.662933, -1.182100e-01
143.014511, -1.187700e-01
143.367234, -1.193100e-01
143.717244, -1.198500e-01
144.070338, -1.203900e-01
144.422674, -1.209300e-01
144.774515, -1.214600e-01
145.127054, -1.219900e-01
145.479363, -1.225100e-01
145.832373, -1.230300e-01
146.183358, -1.235400e-01
146.535308, -1.240500e-01
146.888210, -1.245500e-01
147.242288, -1.250500e-01
147.593981, -1.255400e-01
147.945119, -1.260200e-01
148.297482, -1.265100e-01
148.649077, -1.269900e-01
149.001650, -1.274600e-01
149.353971, -1.279300e-01
149.707028, -1.284000e-01
150.058186, -1.288600e-01
150.411515, -1.293100e-01
150.763256, -1.297600e-01
151.115750, -1.302100e-01
151.466497, -1.306500e-01
151.820978, -1.310800e-01
152.173233, -1.315100e-01
152.524096, -1.319400e-01
152.876795, -1.323600e-01
153.228164, -1.327700e-01
153.581587, -1.331800e-01
153.933482, -1.335800e-01
154.285894, -1.339800e-01
154.637832, -1.343800e-01
154.989847, -1.347700e-01
155.342383, -1.351600e-01
155.694501, -1.355400e-01
156.047649, -1.359100e-01
156.399262, -1.362900e-01
156.751404, -1.366500e-01
157.103474, -1.370100e-01
157.456331, -1.373700e-01
157.807529, -1.377200e-01
158.160601, -1.380600e-01
158.512603, -1.384000e-01
158.864871, -1.387400e-01
159.217172, -1.390700e-01
159.569269, -1.393900e-01
159.921900, -1.397100e-01
160.274078, -1.400200e-01
160.626101, -1.403300e-01
160.978927, -1.406300e-01
