  x,     y,    Z,    camp
    0.21658E+01,    0.49477E+01,    0.00000E+00,    0.21690E-02
    0.21647E+01,    0.49712E+01,    0.00000E+00,    0.21792E-02
    0.22052E+01,    0.49513E+01,    0.00000E+00,    0.21682E-02
    0.22056E+01,    0.49765E+01,    0.00000E+00,    0.21789E-02
    0.21475E+01,    0.49350E+01,    0.00000E+00,    0.21654E-02
    0.21853E+01,    0.49369E+01,    0.00000E+00,    0.21693E-02
    0.21478E+01,    0.49107E+01,    0.00000E+00,    0.21556E-02
    0.21849E+01,    0.49117E+01,    0.00000E+00,    0.21601E-02
    0.21438E+01,    0.49802E+01,    0.00000E+00,    0.21770E-02
    0.21239E+01,    0.49658E+01,    0.00000E+00,    0.21741E-02
    0.22448E+01,    0.49497E+01,    0.00000E+00,    0.21790E-02
    0.22670E+01,    0.49806E+01,    0.00000E+00,    0.21992E-02
    0.22628E+01,    0.49371E+01,    0.00000E+00,    0.21765E-02
    0.22778E+01,    0.49542E+01,    0.00000E+00,    0.21638E-02
    0.22247E+01,    0.49405E+01,    0.00000E+00,    0.21730E-02
    0.22220E+01,    0.49126E+01,    0.00000E+00,    0.21627E-02
    0.22591E+01,    0.49136E+01,    0.00000E+00,    0.21675E-02
    0.22269E+01,    0.49927E+01,    0.00000E+00,    0.21648E-02
    0.21846E+01,    0.49856E+01,    0.00000E+00,    0.21882E-02
    0.22245E+01,    0.50846E+01,    0.00000E+00,    0.22261E-02
    0.21606E+01,    0.51358E+01,    0.00000E+00,    0.22010E-02
    0.21294E+01,    0.48980E+01,    0.00000E+00,    0.21539E-02
    0.21658E+01,    0.48981E+01,    0.00000E+00,    0.21581E-02
    0.21288E+01,    0.48647E+01,    0.00000E+00,    0.21460E-02
    0.21639E+01,    0.48711E+01,    0.00000E+00,    0.21511E-02
    0.21908E+01,    0.48547E+01,    0.00000E+00,    0.21550E-02
    0.22337E+01,    0.48677E+01,    0.00000E+00,    0.21592E-02
    0.22099E+01,    0.48683E+01,    0.00000E+00,    0.21528E-02
    0.22385E+01,    0.48983E+01,    0.00000E+00,    0.21656E-02
    0.22022E+01,    0.48982E+01,    0.00000E+00,    0.21590E-02
    0.22591E+01,    0.48496E+01,    0.00000E+00,    0.21590E-02
    0.22853E+01,    0.48963E+01,    0.00000E+00,    0.21638E-02
    0.22984E+01,    0.49529E+01,    0.00000E+00,    0.21816E-02
    0.22467E+01,    0.49767E+01,    0.00000E+00,    0.21724E-02
    0.23149E+01,    0.49718E+01,    0.00000E+00,    0.21775E-02
    0.23168E+01,    0.49963E+01,    0.00000E+00,    0.21886E-02
    0.23430E+01,    0.49717E+01,    0.00000E+00,    0.21918E-02
    0.23450E+01,    0.49962E+01,    0.00000E+00,    0.21926E-02
    0.22896E+01,    0.50038E+01,    0.00000E+00,    0.21910E-02
    0.22668E+01,    0.50918E+01,    0.00000E+00,    0.22470E-02
    0.23665E+01,    0.48797E+01,    0.00000E+00,    0.21688E-02
    0.23448E+01,    0.48778E+01,    0.00000E+00,    0.21583E-02
    0.23396E+01,    0.49288E+01,    0.00000E+00,    0.21782E-02
    0.23837E+01,    0.49459E+01,    0.00000E+00,    0.21787E-02
    0.23901E+01,    0.49022E+01,    0.00000E+00,    0.21695E-02
    0.24080E+01,    0.48834E+01,    0.00000E+00,    0.21576E-02
    0.23985E+01,    0.49199E+01,    0.00000E+00,    0.21657E-02
    0.24297E+01,    0.48852E+01,    0.00000E+00,    0.21631E-02
    0.24404E+01,    0.49052E+01,    0.00000E+00,    0.21593E-02
    0.24668E+01,    0.49115E+01,    0.00000E+00,    0.21614E-02
    0.24271E+01,    0.49210E+01,    0.00000E+00,    0.21695E-02
    0.24793E+01,    0.49391E+01,    0.00000E+00,    0.21613E-02
    0.24339E+01,    0.49500E+01,    0.00000E+00,    0.21697E-02
    0.24764E+01,    0.47673E+01,    0.00000E+00,    0.21476E-02
    0.24915E+01,    0.48060E+01,    0.00000E+00,    0.21462E-02
    0.25110E+01,    0.47555E+01,    0.00000E+00,    0.21453E-02
    0.25235E+01,    0.47831E+01,    0.00000E+00,    0.21399E-02
    0.24510E+01,    0.48694E+01,    0.00000E+00,    0.21539E-02
    0.24979E+01,    0.48475E+01,    0.00000E+00,    0.21421E-02
    0.24832E+01,    0.48923E+01,    0.00000E+00,    0.21526E-02
    0.25870E+01,    0.48568E+01,    0.00000E+00,    0.21372E-02
    0.25130E+01,    0.49139E+01,    0.00000E+00,    0.21500E-02
    0.24782E+01,    0.48702E+01,    0.00000E+00,    0.21562E-02
    0.26091E+01,    0.48175E+01,    0.00000E+00,    0.21263E-02
    0.23999E+01,    0.48654E+01,    0.00000E+00,    0.21617E-02
    0.24131E+01,    0.48496E+01,    0.00000E+00,    0.21531E-02
    0.24426E+01,    0.48517E+01,    0.00000E+00,    0.21551E-02
    0.24879E+01,    0.48310E+01,    0.00000E+00,    0.21497E-02
    0.24766E+01,    0.47951E+01,    0.00000E+00,    0.21415E-02
    0.24598E+01,    0.48360E+01,    0.00000E+00,    0.21498E-02
    0.24422E+01,    0.48152E+01,    0.00000E+00,    0.21529E-02
    0.23788E+01,    0.48629E+01,    0.00000E+00,    0.21569E-02
    0.23707E+01,    0.48432E+01,    0.00000E+00,    0.21611E-02
    0.23828E+01,    0.48254E+01,    0.00000E+00,    0.21485E-02
    0.24002E+01,    0.47876E+01,    0.00000E+00,    0.21563E-02
    0.23781E+01,    0.47981E+01,    0.00000E+00,    0.21583E-02
    0.24161E+01,    0.48107E+01,    0.00000E+00,    0.21493E-02
    0.24042E+01,    0.48294E+01,    0.00000E+00,    0.21581E-02
    0.24465E+01,    0.47272E+01,    0.00000E+00,    0.21470E-02
    0.24560E+01,    0.47571E+01,    0.00000E+00,    0.21432E-02
    0.25072E+01,    0.47250E+01,    0.00000E+00,    0.21376E-02
    0.24008E+01,    0.47401E+01,    0.00000E+00,    0.21546E-02
    0.24119E+01,    0.47678E+01,    0.00000E+00,    0.21480E-02
    0.24411E+01,    0.47751E+01,    0.00000E+00,    0.21470E-02
    0.24554E+01,    0.47994E+01,    0.00000E+00,    0.21476E-02
    0.23551E+01,    0.47531E+01,    0.00000E+00,    0.21587E-02
    0.23748E+01,    0.47305E+01,    0.00000E+00,    0.21556E-02
    0.23684E+01,    0.46984E+01,    0.00000E+00,    0.21617E-02
    0.25082E+01,    0.49474E+01,    0.00000E+00,    0.21783E-02
    0.24596E+01,    0.49617E+01,    0.00000E+00,    0.21803E-02
    0.25334E+01,    0.50396E+01,    0.00000E+00,    0.21674E-02
    0.24989E+01,    0.50514E+01,    0.00000E+00,    0.21716E-02
    0.23085E+01,    0.49063E+01,    0.00000E+00,    0.21695E-02
    0.23105E+01,    0.49308E+01,    0.00000E+00,    0.21635E-02
    0.23334E+01,    0.48955E+01,    0.00000E+00,    0.21712E-02
    0.23696E+01,    0.49010E+01,    0.00000E+00,    0.21616E-02
    0.23489E+01,    0.49114E+01,    0.00000E+00,    0.21687E-02
    0.23556E+01,    0.49508E+01,    0.00000E+00,    0.21722E-02
    0.24067E+01,    0.49672E+01,    0.00000E+00,    0.21768E-02
    0.23979E+01,    0.49908E+01,    0.00000E+00,    0.21876E-02
    0.23633E+01,    0.50026E+01,    0.00000E+00,    0.22021E-02
    0.24643E+01,    0.50632E+01,    0.00000E+00,    0.21837E-02
    0.24297E+01,    0.50750E+01,    0.00000E+00,    0.21977E-02
    0.27318E+01,    0.41526E+01,    0.00000E+00,    0.25620E-02
    0.24143E+01,    0.36120E+01,    0.00000E+00,    0.33548E-02
    0.24232E+01,    0.36450E+01,    0.00000E+00,    0.32725E-02
    0.24387E+01,    0.36147E+01,    0.00000E+00,    0.33591E-02
    0.24446E+01,    0.36367E+01,    0.00000E+00,    0.33538E-02
    0.23703E+01,    0.36288E+01,    0.00000E+00,    0.33907E-02
    0.23979E+01,    0.35998E+01,    0.00000E+00,    0.34536E-02
    0.24510E+01,    0.35947E+01,    0.00000E+00,    0.34081E-02
    0.24828E+01,    0.36250E+01,    0.00000E+00,    0.32916E-02
    0.24733E+01,    0.36774E+01,    0.00000E+00,    0.31366E-02
    0.24869E+01,    0.35854E+01,    0.00000E+00,    0.35028E-02
