tita [grados], phi [V]
17.9296910893, 0.35157
17.9303248605, 0.49996
18.0477784639, 0.48237
18.1211957271, 0.37192
18.1458883303, 0.39705
18.2815447557, 0.35187
18.2816618063, 0.49996
18.2842899307, 0.42539
18.2922892248, 0.45108
18.3053620027, 0.47071
18.3694584759, 0.48682
18.4802114856, 0.36681
18.5377541282, 0.38604
18.6323483327, 0.35217
18.6324384739, 0.49996
18.6379999101, 0.48262
18.6784392018, 0.46334
18.7149477987, 0.43961
18.736750845, 0.4092
18.7884448877, 0.37489
18.8134956237, 0.36281
18.9365658848, 0.4795
18.9843728782, 0.35248
18.9844957088, 0.49996
18.9909027084, 0.38754
19.0987026247, 0.43004
19.1324058849, 0.36782
19.1487009542, 0.45754
19.2567131242, 0.48196
19.3041944959, 0.40407
19.3353685891, 0.3528
19.3360131194, 0.49996
19.4150992011, 0.38109
19.4734004455, 0.42498
19.490182299, 0.36501
19.5708562753, 0.48667
19.5903439509, 0.46871
19.6595027924, 0.44525
19.6876676953, 0.35312
19.6883585069, 0.49996
19.7942972812, 0.39301
19.8398732321, 0.37007
19.8449549871, 0.41842
19.8990025429, 0.48233
20.0001664312, 0.46079
20.0382233576, 0.49996
20.0394719045, 0.35345
20.1868375087, 0.38266
20.1898118416, 0.3661
20.2179593401, 0.43646
20.2206036018, 0.48788
20.2253925961, 0.47435
20.2280967072, 0.40636
20.3907580915, 0.35379
20.3914747003, 0.49996
20.4271030097, 0.46022
20.4884883334, 0.36991
20.554711806, 0.48224
20.5582431252, 0.38948
20.6481319171, 0.41573
20.7381630121, 0.44236
20.7416639905, 0.49996
20.7429256198, 0.35413
20.7904699998, 0.37228
20.8160070404, 0.46622
20.9247836679, 0.48474
20.9797764988, 0.39394
21.072660839, 0.37153
21.0933322749, 0.49996
21.0945942421, 0.35447
21.1921989037, 0.47132
21.2034830013, 0.42298
21.2092182876, 0.45194
21.2851698937, 0.48573
21.3093251576, 0.38268
21.3657843846, 0.36769
21.4444605533, 0.49996
21.4452331549, 0.35482
21.4645294337, 0.39888
21.5840677007, 0.46725
21.5970555965, 0.4854
21.6281698695, 0.38014
21.6557430951, 0.44344
21.6635665349, 0.36651
21.7589818203, 0.41669
21.7971536431, 0.49996
21.7973562041, 0.35518
21.8814446572, 0.39182
21.9167130222, 0.48236
21.9598744547, 0.37186
22.0712703939, 0.46044
22.1219757426, 0.43387
22.1487961773, 0.49996
22.1489766364, 0.35554
22.214872117, 0.40635
22.2750731119, 0.36763
22.2775495306, 0.48333
22.2788410903, 0.38455
22.4993695478, 0.49996
22.4995676192, 0.3559
22.5341302286, 0.4682
22.5437318361, 0.42054
22.5845744485, 0.3723
22.5900110048, 0.44479
22.6203037709, 0.487
22.7304904408, 0.39549
22.8512295049, 0.35627
22.8516084235, 0.49996
22.8640469291, 0.47967
22.8836921461, 0.37535
22.9393521626, 0.46104
22.9769855816, 0.41997
23.0974394302, 0.48776
23.1160023709, 0.36826
23.1288881019, 0.44118
23.1844980691, 0.4732
23.1878832941, 0.38454
23.2023878922, 0.35665
23.2033302596, 0.49996
23.2308352948, 0.40221
23.4070889787, 0.45871
23.4142628459, 0.37227
23.42085135, 0.48315
23.5539874683, 0.49996
23.5552008741, 0.35703
23.5649386328, 0.42285
23.5955475881, 0.39108
23.7227847111, 0.37217
23.7287068052, 0.48793
23.7536504205, 0.4718
23.8348587351, 0.44901
23.9064076874, 0.49996
23.9065290487, 0.35742
