  x,     y,    camp
    0.80250E+01,    0.41585E+02,    0.47336E-01
    0.84050E+01,    0.41560E+02,    0.47225E-01
    0.81850E+01,    0.41297E+02,    0.46283E-01
    0.79225E+01,    0.41053E+02,    0.45559E-01
    0.81675E+01,    0.40742E+02,    0.45211E-01
    0.76850E+01,    0.40740E+02,    0.44150E-01
    0.76650E+01,    0.41330E+02,    0.45685E-01
    0.73150E+01,    0.41010E+02,    0.43726E-01
    0.91775E+01,    0.40992E+02,    0.47696E-01
    0.64500E+01,    0.41350E+02,    0.41884E-01
    0.68575E+01,    0.40780E+02,    0.41694E-01
    0.64450E+01,    0.40955E+02,    0.41360E-01
    0.67350E+01,    0.41138E+02,    0.42731E-01
    0.94100E+01,    0.43407E+02,    0.55119E-01
    0.88075E+01,    0.43788E+02,    0.57053E-01
    0.92000E+01,    0.43812E+02,    0.56094E-01
    0.90400E+01,    0.43518E+02,    0.55136E-01
    0.59800E+01,    0.40717E+02,    0.38709E-01
    0.93900E+01,    0.44280E+02,    0.58462E-01
    0.53800E+01,    0.40422E+02,    0.35129E-01
    0.95775E+01,    0.44873E+02,    0.60913E-01
    0.90675E+01,    0.40040E+02,    0.45898E-01
    0.82450E+01,    0.40123E+02,    0.44601E-01
    0.78325E+01,    0.39562E+02,    0.42955E-01
    0.76125E+01,    0.40208E+02,    0.42924E-01
    0.69150E+01,    0.40167E+02,    0.40942E-01
    0.70125E+01,    0.39358E+02,    0.40515E-01
    0.61325E+01,    0.39332E+02,    0.37645E-01
    0.55900E+01,    0.39740E+02,    0.35684E-01
    0.61950E+01,    0.40052E+02,    0.38570E-01
    0.48175E+01,    0.39523E+02,    0.31961E-01
    0.42700E+01,    0.39895E+02,    0.29360E-01
    0.48125E+01,    0.40198E+02,    0.32423E-01
    0.10043E+02,    0.43392E+02,    0.54616E-01
    0.10178E+02,    0.42620E+02,    0.52365E-01
    0.10160E+02,    0.44758E+02,    0.59211E-01
    0.10070E+02,    0.44115E+02,    0.57078E-01
    0.10037E+02,    0.40015E+02,    0.47493E-01
    0.10120E+02,    0.40902E+02,    0.48716E-01
    0.10230E+02,    0.41782E+02,    0.50413E-01
    0.10215E+02,    0.46205E+02,    0.64190E-01
    0.10380E+02,    0.46778E+02,    0.65595E-01
    0.99475E+01,    0.45745E+02,    0.63384E-01
    0.10190E+02,    0.45333E+02,    0.61368E-01
    0.97150E+01,    0.45360E+02,    0.62621E-01
    0.28550E+01,    0.39570E+02,    0.22615E-01
    0.37700E+01,    0.39755E+02,    0.26199E-01
    0.33525E+01,    0.39355E+02,    0.24534E-01
    0.32950E+01,    0.39790E+02,    0.23703E-01
    0.10508E+02,    0.47322E+02,    0.66657E-01
    0.15450E+01,    0.39255E+02,    0.16202E-01
    0.23975E+01,    0.39462E+02,    0.18758E-01
    0.20100E+01,    0.39078E+02,    0.17646E-01
    0.19325E+01,    0.39475E+02,    0.16080E-01
    0.81275E+01,    0.36415E+02,    0.43355E-01
    0.74075E+01,    0.37175E+02,    0.41892E-01
    0.83975E+01,    0.37500E+02,    0.43693E-01
    0.62025E+01,    0.36840E+02,    0.39597E-01
    0.93000E+01,    0.36162E+02,    0.44903E-01
    0.94900E+01,    0.37373E+02,    0.45154E-01
    0.82175E+01,    0.38660E+02,    0.43365E-01
    0.97875E+01,    0.38365E+02,    0.45869E-01
    0.91750E+01,    0.39015E+02,    0.45281E-01
    0.10012E+02,    0.39157E+02,    0.46722E-01
    0.71700E+01,    0.38370E+02,    0.40804E-01
    0.60475E+01,    0.38285E+02,    0.37741E-01
    0.32150E+01,    0.37020E+02,    0.32062E-01
    0.22625E+01,    0.38017E+02,    0.26591E-01
    0.34400E+01,    0.38425E+02,    0.28663E-01
    0.47075E+01,    0.36843E+02,    0.36371E-01
    0.47475E+01,    0.38385E+02,    0.33328E-01
    0.77975E+01,    0.35102E+02,    0.43466E-01
    0.63025E+01,    0.35188E+02,    0.41571E-01
    0.91200E+01,    0.34875E+02,    0.45043E-01
    0.29025E+01,    0.35270E+02,    0.36760E-01
    0.46600E+01,    0.35145E+02,    0.39238E-01
    0.10607E+02,    0.47852E+02,    0.67453E-01
    0.10685E+02,    0.48372E+02,    0.68034E-01
    0.12883E+02,    0.48052E+02,    0.60223E-01
    0.13422E+02,    0.48038E+02,    0.59010E-01
    0.12343E+02,    0.48112E+02,    0.61611E-01
    0.12860E+02,    0.47525E+02,    0.59712E-01
    0.13432E+02,    0.47497E+02,    0.58553E-01
    0.12293E+02,    0.47580E+02,    0.61115E-01
    0.11725E+02,    0.47657E+02,    0.62821E-01
    0.11160E+02,    0.47750E+02,    0.64919E-01
    0.11792E+02,    0.48192E+02,    0.63345E-01
    0.11235E+02,    0.48282E+02,    0.65474E-01
    0.12248E+02,    0.47020E+02,    0.60417E-01
    0.13443E+02,    0.46940E+02,    0.57967E-01
    0.12843E+02,    0.46965E+02,    0.59069E-01
    0.12823E+02,    0.46380E+02,    0.58311E-01
    0.13453E+02,    0.46352E+02,    0.57304E-01
    0.12203E+02,    0.46435E+02,    0.59529E-01
    0.11658E+02,    0.47100E+02,    0.62067E-01
    0.11075E+02,    0.47200E+02,    0.64133E-01
    0.10973E+02,    0.46625E+02,    0.63097E-01
    0.11588E+02,    0.46517E+02,    0.61105E-01
    0.10845E+02,    0.46008E+02,    0.61819E-01
    0.11515E+02,    0.45910E+02,    0.59876E-01
    0.10790E+02,    0.45355E+02,    0.59894E-01
    0.11470E+02,    0.45285E+02,    0.58554E-01
    0.10795E+02,    0.44713E+02,    0.57977E-01
    0.11450E+02,    0.44665E+02,    0.57038E-01
    0.12718E+02,    0.44572E+02,    0.55620E-01
    0.13345E+02,    0.44490E+02,    0.55017E-01
    0.12092E+02,    0.44620E+02,    0.56312E-01
    0.13410E+02,    0.45108E+02,    0.55792E-01
    0.12760E+02,    0.45162E+02,    0.56538E-01
    0.12120E+02,    0.45220E+02,    0.57417E-01
    0.13442E+02,    0.45735E+02,    0.56567E-01
    0.12795E+02,    0.45773E+02,    0.57440E-01
    0.12158E+02,    0.45830E+02,    0.58533E-01
    0.11378E+02,    0.42363E+02,    0.52276E-01
    0.10920E+02,    0.42773E+02,    0.52725E-01
    0.11518E+02,    0.42898E+02,    0.53263E-01
    0.11163E+02,    0.41670E+02,    0.50884E-01
    0.11473E+02,    0.43465E+02,    0.54270E-01
    0.10800E+02,    0.43425E+02,    0.54431E-01
    0.11057E+02,    0.40810E+02,    0.49517E-01
    0.11442E+02,    0.44060E+02,    0.55634E-01
    0.10775E+02,    0.44078E+02,    0.56137E-01
    0.13218E+02,    0.43893E+02,    0.54221E-01
    0.12803E+02,    0.43547E+02,    0.54037E-01
    0.12678E+02,    0.44035E+02,    0.54839E-01
    0.12970E+02,    0.42943E+02,    0.53112E-01
    0.12995E+02,    0.42210E+02,    0.52104E-01
    0.12190E+02,    0.42888E+02,    0.53144E-01
    0.12155E+02,    0.42243E+02,    0.52096E-01
    0.12085E+02,    0.44045E+02,    0.55185E-01
    0.12135E+02,    0.43483E+02,    0.54156E-01
    0.12948E+02,    0.40645E+02,    0.50432E-01
    0.12980E+02,    0.41453E+02,    0.51247E-01
    0.12070E+02,    0.41520E+02,    0.51071E-01
    0.11998E+02,    0.40712E+02,    0.50081E-01
    0.12830E+02,    0.37980E+02,    0.48576E-01
    0.12910E+02,    0.39797E+02,    0.49716E-01
    0.12867E+02,    0.38913E+02,    0.49081E-01
    0.11935E+02,    0.39860E+02,    0.49181E-01
    0.11870E+02,    0.38972E+02,    0.48451E-01
    0.11790E+02,    0.38037E+02,    0.47848E-01
    0.10977E+02,    0.39940E+02,    0.48478E-01
    0.10902E+02,    0.39060E+02,    0.47642E-01
    0.10765E+02,    0.38155E+02,    0.46917E-01
    0.11707E+02,    0.37017E+02,    0.47424E-01
    0.12812E+02,    0.36980E+02,    0.48188E-01
    0.11633E+02,    0.35888E+02,    0.47156E-01
    0.12800E+02,    0.35875E+02,    0.47932E-01
    0.10605E+02,    0.37135E+02,    0.46446E-01
    0.10473E+02,    0.35980E+02,    0.46200E-01
    0.11560E+02,    0.34657E+02,    0.47053E-01
    0.10355E+02,    0.34722E+02,    0.46164E-01
    0.12765E+02,    0.34662E+02,    0.47767E-01
    0.30050E+01,    0.31192E+02,    0.43339E-01
    0.29050E+01,    0.33205E+02,    0.40803E-01
    0.30850E+01,    0.29143E+02,    0.44963E-01
    0.63550E+01,    0.33475E+02,    0.43155E-01
    0.77550E+01,    0.33575E+02,    0.44323E-01
    0.47350E+01,    0.33295E+02,    0.41912E-01
    0.76675E+01,    0.31005E+02,    0.45576E-01
    0.66400E+01,    0.31872E+02,    0.44617E-01
    0.78300E+01,    0.32235E+02,    0.45093E-01
    0.50325E+01,    0.31383E+02,    0.44005E-01
    0.52275E+01,    0.29288E+02,    0.45472E-01
    0.73875E+01,    0.29260E+02,    0.46164E-01
    0.10277E+02,    0.33375E+02,    0.46324E-01
    0.90450E+01,    0.33513E+02,    0.45378E-01
    0.10227E+02,    0.31930E+02,    0.46613E-01
    0.93425E+01,    0.31043E+02,    0.46361E-01
    0.90375E+01,    0.32240E+02,    0.45792E-01
    0.95675E+01,    0.29223E+02,    0.46995E-01
    0.12280E+02,    0.30942E+02,    0.47717E-01
    0.11430E+02,    0.31905E+02,    0.47166E-01
    0.12640E+02,    0.32165E+02,    0.47746E-01
    0.12707E+02,    0.33398E+02,    0.47713E-01
    0.11492E+02,    0.33337E+02,    0.47069E-01
    0.11905E+02,    0.28910E+02,    0.47755E-01
    0.15588E+02,    0.47110E+02,    0.55436E-01
    0.15500E+02,    0.46453E+02,    0.55130E-01
    0.15747E+02,    0.47722E+02,    0.55547E-01
    0.15012E+02,    0.47315E+02,    0.56100E-01
    0.14640E+02,    0.47002E+02,    0.56387E-01
    0.14537E+02,    0.47470E+02,    0.56849E-01
    0.14782E+02,    0.46425E+02,    0.55778E-01
    0.15152E+02,    0.47865E+02,    0.56255E-01
    0.14580E+02,    0.47983E+02,    0.57074E-01
    0.14005E+02,    0.47485E+02,    0.57584E-01
    0.13995E+02,    0.48032E+02,    0.57985E-01
    0.14100E+02,    0.46357E+02,    0.56477E-01
    0.14047E+02,    0.46945E+02,    0.57065E-01
    0.15548E+02,    0.45775E+02,    0.54613E-01
    0.15598E+02,    0.45075E+02,    0.54097E-01
    0.14820E+02,    0.45740E+02,    0.55167E-01
    0.14830E+02,    0.45053E+02,    0.54587E-01
    0.14115E+02,    0.45720E+02,    0.55831E-01
    0.14098E+02,    0.45065E+02,    0.55151E-01
    0.14800E+02,    0.44358E+02,    0.53978E-01
    0.14037E+02,    0.44402E+02,    0.54494E-01
    0.15588E+02,    0.44343E+02,    0.53560E-01
    0.17595E+02,    0.46775E+02,    0.53731E-01
    0.17432E+02,    0.46008E+02,    0.53553E-01
    0.17672E+02,    0.47510E+02,    0.53900E-01
    0.17275E+02,    0.44305E+02,    0.52845E-01
    0.17312E+02,    0.45168E+02,    0.53252E-01
    0.16727E+02,    0.46230E+02,    0.54019E-01
    0.16270E+02,    0.45847E+02,    0.54183E-01
    0.16163E+02,    0.46410E+02,    0.54569E-01
    0.16418E+02,    0.45150E+02,    0.53676E-01
    0.16892E+02,    0.46890E+02,    0.54213E-01
    0.16253E+02,    0.47005E+02,    0.54764E-01
    0.16405E+02,    0.44333E+02,    0.53182E-01
    0.16982E+02,    0.47553E+02,    0.54382E-01
    0.16360E+02,    0.47613E+02,    0.54937E-01
    0.18295E+02,    0.45922E+02,    0.53085E-01
    0.18428E+02,    0.47447E+02,    0.53451E-01
    0.18373E+02,    0.46700E+02,    0.53289E-01
    0.19165E+02,    0.46663E+02,    0.52909E-01
    0.19182E+02,    0.47398E+02,    0.53060E-01
    0.19142E+02,    0.45887E+02,    0.52722E-01
    0.18177E+02,    0.44267E+02,    0.52533E-01
    0.18225E+02,    0.45105E+02,    0.52835E-01
    0.19072E+02,    0.44240E+02,    0.52255E-01
    0.19108E+02,    0.45070E+02,    0.52504E-01
    0.19950E+02,    0.46675E+02,    0.52590E-01
    0.19912E+02,    0.47380E+02,    0.52744E-01
    0.19995E+02,    0.45898E+02,    0.52423E-01
    0.21205E+02,    0.47220E+02,    0.52243E-01
    0.20722E+02,    0.46770E+02,    0.52354E-01
    0.20585E+02,    0.47387E+02,    0.52492E-01
    0.22005E+02,    0.46977E+02,    0.52000E-01
    0.20895E+02,    0.45985E+02,    0.52157E-01
    0.21885E+02,    0.46008E+02,    0.51910E-01
    0.19985E+02,    0.45055E+02,    0.52223E-01
    0.20890E+02,    0.45045E+02,    0.51976E-01
    0.21855E+02,    0.45010E+02,    0.51752E-01
    0.21767E+02,    0.44020E+02,    0.51597E-01
    0.19942E+02,    0.44215E+02,    0.52015E-01
    0.20812E+02,    0.44133E+02,    0.51791E-01
    0.13912E+02,    0.40612E+02,    0.50707E-01
    0.14902E+02,    0.40608E+02,    0.50897E-01
    0.13895E+02,    0.39755E+02,    0.50084E-01
    0.14893E+02,    0.39722E+02,    0.50348E-01
    0.16992E+02,    0.39655E+02,    0.50654E-01
    0.15915E+02,    0.39688E+02,    0.50527E-01
    0.17008E+02,    0.40645E+02,    0.51069E-01
    0.15930E+02,    0.40627E+02,    0.51013E-01
    0.14872E+02,    0.41463E+02,    0.51493E-01
    0.16980E+02,    0.41642E+02,    0.51547E-01
    0.15883E+02,    0.41575E+02,    0.51579E-01
    0.16183E+02,    0.42800E+02,    0.52255E-01
    0.15655E+02,    0.42352E+02,    0.52117E-01
    0.15492E+02,    0.42960E+02,    0.52565E-01
    0.17052E+02,    0.42600E+02,    0.52044E-01
    0.14715E+02,    0.42955E+02,    0.52747E-01
    0.14783E+02,    0.42242E+02,    0.52098E-01
    0.16335E+02,    0.43550E+02,    0.52718E-01
    0.17200E+02,    0.43467E+02,    0.52458E-01
    0.14743E+02,    0.43657E+02,    0.53360E-01
    0.15543E+02,    0.43623E+02,    0.53027E-01
    0.13840E+02,    0.42975E+02,    0.52938E-01
    0.13908E+02,    0.43715E+02,    0.53795E-01
    0.13912E+02,    0.41435E+02,    0.51380E-01
    0.13883E+02,    0.42213E+02,    0.52117E-01
    0.20325E+02,    0.40725E+02,    0.51009E-01
    0.20332E+02,    0.39685E+02,    0.50747E-01
    0.21402E+02,    0.39630E+02,    0.50722E-01
    0.21433E+02,    0.40723E+02,    0.50949E-01
    0.19242E+02,    0.39665E+02,    0.50755E-01
    0.19222E+02,    0.40680E+02,    0.51057E-01
    0.18115E+02,    0.40652E+02,    0.51084E-01
    0.18117E+02,    0.39645E+02,    0.50722E-01
    0.21440E+02,    0.41862E+02,    0.51200E-01
    0.20280E+02,    0.41815E+02,    0.51304E-01
    0.19183E+02,    0.41682E+02,    0.51379E-01
    0.20635E+02,    0.43248E+02,    0.51603E-01
    0.20052E+02,    0.42723E+02,    0.51591E-01
    0.19887E+02,    0.43435E+02,    0.51816E-01
    0.21572E+02,    0.42985E+02,    0.51424E-01
    0.19053E+02,    0.43420E+02,    0.51983E-01
    0.19102E+02,    0.42595E+02,    0.51680E-01
    0.18102E+02,    0.42562E+02,    0.51828E-01
    0.18135E+02,    0.43428E+02,    0.52195E-01
    0.18100E+02,    0.41635E+02,    0.51461E-01
    0.21283E+02,    0.38530E+02,    0.50492E-01
    0.20595E+02,    0.37808E+02,    0.50361E-01
    0.20325E+02,    0.38712E+02,    0.50528E-01
    0.19268E+02,    0.38642E+02,    0.50478E-01
    0.19375E+02,    0.37570E+02,    0.50224E-01
    0.19535E+02,    0.36330E+02,    0.49994E-01
    0.20998E+02,    0.36610E+02,    0.50166E-01
    0.18105E+02,    0.38602E+02,    0.50386E-01
    0.18090E+02,    0.37477E+02,    0.50063E-01
    0.18110E+02,    0.36212E+02,    0.49789E-01
