 X,    Y,   COH  
    0.62800E+01,    0.28200E+02,    0.63686E+02
    0.41300E+01,    0.28140E+02,    0.64235E+02
    0.33800E+02,    0.20440E+02,    0.60018E+02
    0.29390E+02,    0.18690E+02,    0.60118E+02
    0.25700E+02,    0.18420E+02,    0.60170E+02
    0.22360E+02,    0.18100E+02,    0.60294E+02
    0.19170E+02,    0.18090E+02,    0.60399E+02
    0.16210E+02,    0.18240E+02,    0.60513E+02
    0.13070E+02,    0.18600E+02,    0.60645E+02
    0.10190E+02,    0.17440E+02,    0.60763E+02
    0.79900E+01,    0.17980E+02,    0.60962E+02
    0.60000E+01,    0.18040E+02,    0.61098E+02
    0.40400E+01,    0.18080E+02,    0.61178E+02
    0.18820E+02,    0.14410E+02,    0.60344E+02
    0.16160E+02,    0.15290E+02,    0.60386E+02
    0.13570E+02,    0.15430E+02,    0.60467E+02
    0.10890E+02,    0.14750E+02,    0.60499E+02
    0.84700E+01,    0.13180E+02,    0.60619E+02
    0.63900E+01,    0.12720E+02,    0.60628E+02
    0.43700E+01,    0.12100E+02,    0.60544E+02
    0.47900E+01,    0.95600E+01,    0.60362E+02
    0.37500E+01,    0.83100E+01,    0.60324E+02
    0.43600E+01,    0.71700E+01,    0.60288E+02
    0.87400E+01,    0.10690E+02,    0.60484E+02
    0.12900E+02,    0.12060E+02,    0.60284E+02
    0.16050E+02,    0.12710E+02,    0.60281E+02
    0.14170E+02,    0.13480E+02,    0.60368E+02
    0.66400E+01,    0.10940E+02,    0.60533E+02
    0.79000E+01,    0.14870E+02,    0.60733E+02
    0.77300E+01,    0.16310E+02,    0.60831E+02
    0.40400E+01,    0.16130E+02,    0.60935E+02
    0.59800E+01,    0.16280E+02,    0.60912E+02
    0.41500E+01,    0.14220E+02,    0.60729E+02
    0.61000E+01,    0.14470E+02,    0.60757E+02
    0.90800E+01,    0.16410E+02,    0.60766E+02
    0.92800E+01,    0.15260E+02,    0.60673E+02
    0.29230E+02,    0.14630E+02,    0.60188E+02
    0.22090E+02,    0.15020E+02,    0.60308E+02
    0.25580E+02,    0.14950E+02,    0.60156E+02
    0.25130E+02,    0.12260E+02,    0.60131E+02
    0.21700E+02,    0.12210E+02,    0.60353E+02
    0.33900E+02,    0.15120E+02,    0.60107E+02
    0.22380E+02,    0.21390E+02,    0.60275E+02
    0.22330E+02,    0.24340E+02,    0.60249E+02
    0.99500E+01,    0.19870E+02,    0.61006E+02
    0.99300E+01,    0.21830E+02,    0.61235E+02
    0.10000E+02,    0.23910E+02,    0.61544E+02
    0.10110E+02,    0.25830E+02,    0.61842E+02
    0.60400E+01,    0.20010E+02,    0.61364E+02
    0.60600E+01,    0.21960E+02,    0.61712E+02
    0.61100E+01,    0.24010E+02,    0.62170E+02
    0.61700E+01,    0.26040E+02,    0.62756E+02
    0.40600E+01,    0.22010E+02,    0.61885E+02
    0.40800E+01,    0.24000E+02,    0.62422E+02
    0.41200E+01,    0.26060E+02,    0.63175E+02
    0.40400E+01,    0.20000E+02,    0.61483E+02
    0.80400E+01,    0.21950E+02,    0.61495E+02
    0.82000E+01,    0.25990E+02,    0.62298E+02
    0.80800E+01,    0.23920E+02,    0.61848E+02
    0.80000E+01,    0.19890E+02,    0.61208E+02
    0.16450E+02,    0.21410E+02,    0.60584E+02
    0.16480E+02,    0.24370E+02,    0.60711E+02
    0.13810E+02,    0.24260E+02,    0.60936E+02
    0.13760E+02,    0.21450E+02,    0.60808E+02
