 X,    Y,   CH  
    0.27230E+02,    0.46940E+02,    0.58584E+02
    0.26180E+02,    0.47020E+02,    0.58380E+02
    0.25260E+02,    0.47090E+02,    0.58178E+02
    0.24390E+02,    0.47180E+02,    0.57955E+02
    0.23500E+02,    0.47260E+02,    0.57698E+02
    0.22570E+02,    0.47380E+02,    0.57392E+02
    0.21670E+02,    0.47500E+02,    0.57061E+02
    0.20940E+02,    0.47690E+02,    0.56729E+02
    0.20270E+02,    0.47710E+02,    0.56418E+02
    0.19560E+02,    0.47740E+02,    0.56061E+02
    0.18830E+02,    0.47780E+02,    0.55649E+02
    0.18070E+02,    0.47850E+02,    0.55193E+02
    0.17320E+02,    0.47900E+02,    0.54775E+02
    0.16700E+02,    0.47860E+02,    0.54670E+02
    0.16120E+02,    0.47960E+02,    0.54857E+02
    0.15510E+02,    0.48080E+02,    0.55880E+02
    0.14910E+02,    0.48220E+02,    0.58748E+02
    0.14300E+02,    0.48300E+02,    0.65897E+02
    0.13680E+02,    0.48330E+02,    0.82472E+02
    0.13150E+02,    0.48280E+02,    0.11037E+03
    0.12640E+02,    0.48330E+02,    0.15646E+03
    0.12100E+02,    0.48410E+02,    0.23559E+03
    0.11550E+02,    0.48500E+02,    0.36035E+03
    0.10990E+02,    0.48590E+02,    0.53259E+03
    0.33820E+02,    0.26430E+02,    0.61006E+02
    0.29040E+02,    0.28540E+02,    0.61246E+02
    0.25300E+02,    0.27620E+02,    0.61824E+02
    0.22160E+02,    0.27430E+02,    0.62663E+02
    0.19320E+02,    0.27190E+02,    0.63507E+02
    0.16420E+02,    0.27770E+02,    0.64135E+02
    0.13100E+02,    0.27070E+02,    0.62194E+02
    0.10610E+02,    0.27940E+02,    0.62379E+02
    0.83800E+01,    0.28070E+02,    0.74111E+02
    0.62800E+01,    0.28200E+02,    0.10449E+03
    0.41300E+01,    0.28140E+02,    0.15363E+03
    0.33800E+02,    0.20440E+02,    0.60977E+02
    0.29390E+02,    0.18690E+02,    0.61557E+02
    0.25700E+02,    0.18420E+02,    0.62258E+02
    0.22360E+02,    0.18100E+02,    0.62904E+02
    0.19170E+02,    0.18090E+02,    0.63224E+02
    0.16210E+02,    0.18240E+02,    0.62774E+02
    0.13070E+02,    0.18600E+02,    0.60867E+02
    0.10190E+02,    0.17440E+02,    0.58029E+02
    0.79900E+01,    0.17980E+02,    0.57637E+02
    0.60000E+01,    0.18040E+02,    0.58170E+02
    0.40400E+01,    0.18080E+02,    0.59840E+02
    0.18820E+02,    0.14410E+02,    0.62048E+02
    0.16160E+02,    0.15290E+02,    0.61700E+02
    0.13570E+02,    0.15430E+02,    0.60179E+02
    0.10890E+02,    0.14750E+02,    0.57856E+02
    0.84700E+01,    0.13180E+02,    0.55892E+02
    0.63900E+01,    0.12720E+02,    0.53971E+02
    0.43700E+01,    0.12100E+02,    0.52577E+02
    0.47900E+01,    0.95600E+01,    0.52464E+02
    0.37500E+01,    0.83100E+01,    0.52443E+02
    0.43600E+01,    0.71700E+01,    0.53351E+02
    0.87400E+01,    0.10690E+02,    0.54367E+02
    0.12900E+02,    0.12060E+02,    0.59381E+02
    0.16050E+02,    0.12710E+02,    0.61146E+02
    0.14170E+02,    0.13480E+02,    0.60332E+02
    0.66400E+01,    0.10940E+02,    0.53624E+02
    0.79000E+01,    0.14870E+02,    0.55601E+02
    0.77300E+01,    0.16310E+02,    0.56396E+02
    0.40400E+01,    0.16130E+02,    0.55732E+02
    0.59800E+01,    0.16280E+02,    0.55809E+02
    0.41500E+01,    0.14220E+02,    0.53455E+02
    0.61000E+01,    0.14470E+02,    0.54349E+02
    0.90800E+01,    0.16410E+02,    0.57252E+02
    0.92800E+01,    0.15260E+02,    0.56992E+02
    0.29230E+02,    0.14630E+02,    0.61438E+02
    0.22090E+02,    0.15020E+02,    0.62311E+02
    0.25580E+02,    0.14950E+02,    0.61790E+02
    0.25130E+02,    0.12260E+02,    0.62120E+02
    0.21700E+02,    0.12210E+02,    0.62111E+02
    0.33900E+02,    0.15120E+02,    0.61177E+02
    0.22380E+02,    0.21390E+02,    0.63234E+02
    0.22330E+02,    0.24340E+02,    0.63119E+02
    0.99500E+01,    0.19870E+02,    0.59588E+02
    0.99300E+01,    0.21830E+02,    0.60656E+02
    0.10000E+02,    0.23910E+02,    0.62087E+02
    0.10110E+02,    0.25830E+02,    0.63215E+02
    0.60400E+01,    0.20010E+02,    0.62205E+02
    0.60600E+01,    0.21960E+02,    0.68182E+02
    0.61100E+01,    0.24010E+02,    0.76923E+02
    0.61700E+01,    0.26040E+02,    0.88757E+02
    0.40600E+01,    0.22010E+02,    0.76952E+02
    0.40800E+01,    0.24000E+02,    0.92748E+02
    0.41200E+01,    0.26060E+02,    0.11671E+03
    0.40400E+01,    0.20000E+02,    0.66447E+02
    0.80400E+01,    0.21950E+02,    0.62685E+02
    0.82000E+01,    0.25990E+02,    0.70574E+02
    0.80800E+01,    0.23920E+02,    0.66383E+02
