 X,    Y,   CCL  
    0.33800E+02,    0.20440E+02,    0.96160E+08
    0.29390E+02,    0.18690E+02,    0.96234E+08
    0.25700E+02,    0.18420E+02,    0.96289E+08
    0.22360E+02,    0.18100E+02,    0.96392E+08
    0.19170E+02,    0.18090E+02,    0.96500E+08
    0.16210E+02,    0.18240E+02,    0.96646E+08
    0.13070E+02,    0.18600E+02,    0.96735E+08
    0.10190E+02,    0.17440E+02,    0.96868E+08
    0.79900E+01,    0.17980E+02,    0.97111E+08
    0.60000E+01,    0.18040E+02,    0.97255E+08
    0.40400E+01,    0.18080E+02,    0.97347E+08
    0.18820E+02,    0.14410E+02,    0.96473E+08
    0.16160E+02,    0.15290E+02,    0.96566E+08
    0.13570E+02,    0.15430E+02,    0.96675E+08
    0.10890E+02,    0.14750E+02,    0.96630E+08
    0.84700E+01,    0.13180E+02,    0.96800E+08
    0.63900E+01,    0.12720E+02,    0.96852E+08
    0.43700E+01,    0.12100E+02,    0.96745E+08
    0.47900E+01,    0.95600E+01,    0.96506E+08
    0.37500E+01,    0.83100E+01,    0.96494E+08
    0.43600E+01,    0.71700E+01,    0.96432E+08
    0.87400E+01,    0.10690E+02,    0.96643E+08
    0.12900E+02,    0.12060E+02,    0.96402E+08
    0.16050E+02,    0.12710E+02,    0.96401E+08
    0.14170E+02,    0.13480E+02,    0.96537E+08
    0.66400E+01,    0.10940E+02,    0.96756E+08
    0.79000E+01,    0.14870E+02,    0.96917E+08
    0.77300E+01,    0.16310E+02,    0.97011E+08
    0.40400E+01,    0.16130E+02,    0.97134E+08
    0.59800E+01,    0.16280E+02,    0.97097E+08
    0.41500E+01,    0.14220E+02,    0.96942E+08
    0.61000E+01,    0.14470E+02,    0.96968E+08
    0.90800E+01,    0.16410E+02,    0.96959E+08
    0.92800E+01,    0.15260E+02,    0.96854E+08
    0.29230E+02,    0.14630E+02,    0.96297E+08
    0.22090E+02,    0.15020E+02,    0.96435E+08
    0.25580E+02,    0.14950E+02,    0.96278E+08
    0.25130E+02,    0.12260E+02,    0.96213E+08
    0.21700E+02,    0.12210E+02,    0.96543E+08
    0.33900E+02,    0.15120E+02,    0.96176E+08
    0.22380E+02,    0.21390E+02,    0.96352E+08
    0.22330E+02,    0.24340E+02,    0.96296E+08
    0.99500E+01,    0.19870E+02,    0.97114E+08
    0.99300E+01,    0.21830E+02,    0.97346E+08
    0.10000E+02,    0.23910E+02,    0.97630E+08
    0.10110E+02,    0.25830E+02,    0.97943E+08
    0.60400E+01,    0.20010E+02,    0.97496E+08
    0.60600E+01,    0.21960E+02,    0.97834E+08
    0.61100E+01,    0.24010E+02,    0.98271E+08
    0.61700E+01,    0.26040E+02,    0.98854E+08
    0.40600E+01,    0.22010E+02,    0.98012E+08
    0.40800E+01,    0.24000E+02,    0.98553E+08
    0.41200E+01,    0.26060E+02,    0.99313E+08
    0.40400E+01,    0.20000E+02,    0.97627E+08
    0.80400E+01,    0.21950E+02,    0.97609E+08
    0.82000E+01,    0.25990E+02,    0.98365E+08
    0.80800E+01,    0.23920E+02,    0.97943E+08
    0.80000E+01,    0.19890E+02,    0.97345E+08
    0.16450E+02,    0.21410E+02,    0.96657E+08
    0.16480E+02,    0.24370E+02,    0.96738E+08
