 X,    Y,   V  
    0.13410E+02,    0.40200E+02,    0.19599E+01
    0.13440E+02,    0.41040E+02,    0.20021E+01
    0.13440E+02,    0.41830E+02,    0.20421E+01
    0.13420E+02,    0.42590E+02,    0.20811E+01
    0.13350E+02,    0.43400E+02,    0.21229E+01
    0.13610E+02,    0.44110E+02,    0.21629E+01
    0.13720E+02,    0.44760E+02,    0.21990E+01
    0.13760E+02,    0.45400E+02,    0.22345E+01
    0.13780E+02,    0.46040E+02,    0.22703E+01
    0.13760E+02,    0.46650E+02,    0.23047E+01
    0.13730E+02,    0.47220E+02,    0.23371E+01
    0.13710E+02,    0.47760E+02,    0.23682E+01
    0.38000E+01,    0.34200E+02,    0.16241E+01
    0.55100E+01,    0.34260E+02,    0.16338E+01
    0.70600E+01,    0.34350E+02,    0.16453E+01
    0.84200E+01,    0.34260E+02,    0.16485E+01
    0.97000E+01,    0.34120E+02,    0.16487E+01
    0.10910E+02,    0.34010E+02,    0.16494E+01
    0.12140E+02,    0.34030E+02,    0.16558E+01
    0.98000E+01,    0.35450E+02,    0.17096E+01
    0.99800E+01,    0.36650E+02,    0.17650E+01
    0.10130E+02,    0.37780E+02,    0.18173E+01
    0.10390E+02,    0.38680E+02,    0.18605E+01
    0.10470E+02,    0.39540E+02,    0.19009E+01
    0.10540E+02,    0.40430E+02,    0.19433E+01
    0.10640E+02,    0.41300E+02,    0.19858E+01
    0.10770E+02,    0.42240E+02,    0.20336E+01
    0.10490E+02,    0.43030E+02,    0.20689E+01
    0.10420E+02,    0.43750E+02,    0.21050E+01
    0.10450E+02,    0.44420E+02,    0.21414E+01
    0.10480E+02,    0.45050E+02,    0.21771E+01
    0.10400E+02,    0.45730E+02,    0.22152E+01
    0.10600E+02,    0.46390E+02,    0.22585E+01
    0.10730E+02,    0.46980E+02,    0.22973E+01
    0.10840E+02,    0.47530E+02,    0.23339E+01
    0.10920E+02,    0.48070E+02,    0.23700E+01
    0.38400E+01,    0.36110E+02,    0.16964E+01
    0.54900E+01,    0.36010E+02,    0.17037E+01
    0.71500E+01,    0.36130E+02,    0.17210E+01
    0.85600E+01,    0.35670E+02,    0.17114E+01
    0.27100E+01,    0.39050E+02,    0.17714E+01
    0.40500E+01,    0.39230E+02,    0.17942E+01
    0.54400E+01,    0.39060E+02,    0.18113E+01
    0.65800E+01,    0.38860E+02,    0.18216E+01
    0.75600E+01,    0.39030E+02,    0.18419E+01
    0.85200E+01,    0.39470E+02,    0.18735E+01
    0.95500E+01,    0.39590E+02,    0.18923E+01
    0.99100E+01,    0.45060E+02,    0.21667E+01
    0.95900E+01,    0.40500E+02,    0.19338E+01
