tita, campo[?]
3.097398, 3.120800e-01
3.108839, 3.216200e-01
3.165697, 2.989300e-01
3.182672, 3.034900e-01
3.186220, 3.175700e-01
3.191063, 3.254000e-01
3.245793, 3.219300e-01
3.337470, 2.995600e-01
3.346086, 3.249400e-01
3.358308, 3.126100e-01
3.360833, 3.073100e-01
3.426581, 3.178800e-01
3.452378, 3.221600e-01
3.472984, 3.031700e-01
3.510160, 2.989200e-01
3.515026, 3.253400e-01
3.556258, 3.204700e-01
3.567499, 3.072700e-01
3.579703, 3.116100e-01
3.597728, 3.164600e-01
3.603279, 3.020000e-01
3.684525, 3.246800e-01
3.688314, 2.992500e-01
3.749324, 3.204700e-01
3.838269, 3.063800e-01
3.838870, 3.026400e-01
3.852822, 3.118400e-01
3.855767, 3.252600e-01
3.862318, 2.986600e-01
3.869006, 3.217100e-01
3.889123, 3.153400e-01
3.911704, 3.196400e-01
4.038533, 3.245400e-01
4.041201, 2.991100e-01
4.043835, 3.225100e-01
4.060290, 3.019900e-01
4.082091, 3.067000e-01
4.086328, 3.189100e-01
4.106294, 3.106400e-01
4.123942, 3.156700e-01
4.209598, 3.218200e-01
4.212474, 2.984900e-01
4.217408, 3.251900e-01
4.255282, 3.020000e-01
4.272429, 3.191700e-01
4.354246, 3.056900e-01
4.355172, 3.216100e-01
4.363563, 3.110100e-01
4.390167, 2.989000e-01
4.397942, 3.243800e-01
4.403603, 3.144800e-01
4.433664, 3.187800e-01
4.483416, 3.017900e-01
4.545534, 3.211500e-01
4.557494, 2.983600e-01
4.564810, 3.249900e-01
4.610605, 3.063700e-01
4.624893, 3.099200e-01
4.630473, 3.221400e-01
4.636878, 3.181900e-01
4.646807, 3.148000e-01
4.646904, 3.017400e-01
4.737677, 3.243400e-01
4.737892, 2.988500e-01
4.840443, 3.217700e-01
4.843787, 3.187800e-01
4.870954, 3.053600e-01
4.875259, 3.103600e-01
4.892360, 3.247900e-01
4.895769, 3.137300e-01
4.899820, 3.023200e-01
4.916576, 2.982200e-01
4.962396, 3.176900e-01
4.962772, 3.212600e-01
5.076955, 3.241700e-01
5.092184, 3.015000e-01
5.098851, 3.057400e-01
5.100625, 2.986700e-01
5.154726, 3.144800e-01
5.156116, 3.091800e-01
5.165382, 3.208700e-01
5.227799, 3.245000e-01
5.253069, 3.173700e-01
5.275444, 2.981000e-01
5.283713, 3.017300e-01
5.324215, 3.048400e-01
5.337397, 3.206700e-01
5.375676, 3.145300e-01
5.376533, 3.092100e-01
5.423937, 3.239600e-01
5.448497, 2.985200e-01
5.456975, 3.010000e-01
5.490476, 3.045000e-01
5.557531, 3.198400e-01
5.582362, 3.244200e-01
5.614732, 2.978300e-01
5.615511, 3.009900e-01
5.652894, 3.086100e-01
5.656806, 3.151700e-01
5.697387, 3.040000e-01
5.776784, 3.002700e-01
5.783444, 3.238300e-01
5.791615, 2.982100e-01
5.792005, 3.119000e-01
5.793157, 3.209300e-01
5.806736, 3.067100e-01
5.824730, 3.028000e-01
5.866627, 3.173500e-01
5.935441, 3.237300e-01
5.941018, 3.005100e-01
5.956729, 2.974900e-01
