  x,     y,    Z,    camp
    0.20320E+01,    0.47571E+01,    0.00000E+00,    0.10552E+02
    0.20762E+01,    0.48385E+01,    0.00000E+00,    0.10531E+02
    0.19529E+01,    0.47419E+01,    0.00000E+00,    0.10624E+02
    0.19863E+01,    0.46876E+01,    0.00000E+00,    0.10559E+02
    0.21077E+01,    0.37145E+01,    0.00000E+00,    0.10069E+02
    0.20828E+01,    0.37620E+01,    0.00000E+00,    0.10077E+02
    0.21617E+01,    0.37337E+01,    0.00000E+00,    0.10054E+02
    0.21638E+01,    0.37910E+01,    0.00000E+00,    0.10095E+02
    0.19636E+01,    0.37189E+01,    0.00000E+00,    0.10031E+02
    0.18967E+01,    0.37151E+01,    0.00000E+00,    0.10038E+02
    0.18658E+01,    0.36704E+01,    0.00000E+00,    0.99893E+01
    0.22427E+01,    0.37627E+01,    0.00000E+00,    0.10073E+02
    0.22449E+01,    0.38199E+01,    0.00000E+00,    0.10106E+02
    0.23237E+01,    0.37916E+01,    0.00000E+00,    0.10085E+02
    0.23259E+01,    0.38488E+01,    0.00000E+00,    0.10114E+02
    0.17264E+01,    0.33860E+01,    0.00000E+00,    0.98425E+01
    0.17632E+01,    0.33448E+01,    0.00000E+00,    0.98592E+01
    0.16949E+01,    0.33138E+01,    0.00000E+00,    0.98073E+01
    0.17273E+01,    0.32742E+01,    0.00000E+00,    0.98313E+01
    0.17297E+01,    0.34686E+01,    0.00000E+00,    0.98651E+01
    0.17841E+01,    0.35307E+01,    0.00000E+00,    0.99025E+01
    0.18287E+01,    0.35025E+01,    0.00000E+00,    0.99265E+01
    0.24442E+01,    0.38064E+01,    0.00000E+00,    0.10105E+02
    0.24421E+01,    0.37491E+01,    0.00000E+00,    0.10078E+02
    0.23632E+01,    0.37774E+01,    0.00000E+00,    0.10096E+02
    0.23610E+01,    0.37202E+01,    0.00000E+00,    0.10068E+02
    0.24451E+01,    0.36514E+01,    0.00000E+00,    0.10065E+02
    0.24742E+01,    0.37183E+01,    0.00000E+00,    0.10082E+02
    0.25488E+01,    0.35756E+01,    0.00000E+00,    0.10061E+02
    0.27286E+01,    0.36582E+01,    0.00000E+00,    0.10033E+02
    0.24048E+01,    0.38205E+01,    0.00000E+00,    0.10094E+02
    0.24069E+01,    0.38777E+01,    0.00000E+00,    0.10117E+02
    0.24446E+01,    0.39846E+01,    0.00000E+00,    0.10131E+02
    0.24527E+01,    0.40332E+01,    0.00000E+00,    0.10138E+02
    0.24489E+01,    0.39121E+01,    0.00000E+00,    0.10112E+02
    0.24515E+01,    0.39606E+01,    0.00000E+00,    0.10132E+02
    0.26015E+01,    0.39633E+01,    0.00000E+00,    0.10103E+02
    0.25986E+01,    0.40116E+01,    0.00000E+00,    0.10124E+02
    0.26012E+01,    0.40601E+01,    0.00000E+00,    0.10152E+02
    0.23367E+01,    0.20004E+01,    0.00000E+00,    0.98801E+01
    0.28173E+01,    0.23744E+01,    0.00000E+00,    0.99558E+01
    0.24176E+01,    0.15384E+01,    0.00000E+00,    0.98983E+01
    0.24545E+01,    0.17617E+01,    0.00000E+00,    0.99084E+01
    0.26699E+01,    0.14035E+01,    0.00000E+00,    0.99035E+01
    0.28213E+01,    0.15930E+01,    0.00000E+00,    0.99262E+01
    0.41360E+01,    0.22152E+01,    0.00000E+00,    0.99774E+01
    0.32665E+01,    0.22915E+01,    0.00000E+00,    0.99542E+01
    0.30357E+01,    0.23743E+01,    0.00000E+00,    0.99448E+01
    0.33876E+01,    0.25222E+01,    0.00000E+00,    0.99840E+01
    0.32216E+01,    0.27618E+01,    0.00000E+00,    0.99750E+01
    0.13882E+01,    0.39799E+01,    0.00000E+00,    0.10028E+02
    0.14005E+01,    0.39198E+01,    0.00000E+00,    0.99699E+01
    0.12968E+01,    0.39419E+01,    0.00000E+00,    0.99084E+01
    0.13607E+01,    0.38765E+01,    0.00000E+00,    0.98976E+01
    0.14414E+01,    0.39095E+01,    0.00000E+00,    0.99845E+01
    0.14809E+01,    0.39343E+01,    0.00000E+00,    0.99765E+01
    0.14684E+01,    0.38573E+01,    0.00000E+00,    0.10005E+02
    0.15080E+01,    0.38821E+01,    0.00000E+00,    0.99962E+01
    0.15402E+01,    0.39716E+01,    0.00000E+00,    0.10058E+02
    0.14885E+01,    0.39729E+01,    0.00000E+00,    0.10139E+02
    0.15038E+01,    0.40499E+01,    0.00000E+00,    0.10125E+02
    0.14643E+01,    0.40251E+01,    0.00000E+00,    0.10147E+02
    0.76966E+00,    0.41241E+01,    0.00000E+00,    0.88201E+01
    0.80071E+00,    0.40613E+01,    0.00000E+00,    0.91311E+01
    0.63398E+00,    0.40823E+01,    0.00000E+00,    0.82610E+01
    0.69043E+00,    0.40807E+01,    0.00000E+00,    0.80004E+01
    0.56717E+00,    0.40244E+01,    0.00000E+00,    0.70901E+01
    0.61193E+00,    0.40498E+01,    0.00000E+00,    0.76679E+01
    0.57298E+00,    0.39567E+01,    0.00000E+00,    0.70627E+01
    0.67688E+00,    0.40073E+01,    0.00000E+00,    0.78344E+01
    0.68832E+00,    0.39598E+01,    0.00000E+00,    0.82278E+01
    0.58993E+00,    0.39935E+01,    0.00000E+00,    0.73833E+01
    0.60651E+00,    0.39214E+01,    0.00000E+00,    0.75987E+01
    0.27478E+01,    0.21648E+01,    0.00000E+00,    0.99133E+01
    0.26414E+01,    0.29627E+01,    0.00000E+00,    0.99519E+01
    0.39276E+00,    0.25949E+01,    0.00000E+00,    0.92949E+01
    0.45636E+00,    0.24468E+01,    0.00000E+00,    0.94537E+01
    0.25417E+00,    0.21785E+01,    0.00000E+00,    0.95239E+01
    0.65778E+00,    0.15347E+01,    0.00000E+00,    0.97589E+01
    0.25550E+00,    0.14107E+01,    0.00000E+00,    0.97514E+01
    0.64831E+00,    0.18515E+01,    0.00000E+00,    0.96535E+01
    0.14678E+00,    0.16936E+01,    0.00000E+00,    0.96521E+01
    0.10871E+00,    0.12073E+01,    0.00000E+00,    0.97526E+01
    0.47292E+00,    0.13417E+01,    0.00000E+00,    0.97476E+01
    0.19205E+00,    0.95894E+00,    0.00000E+00,    0.98000E+01
    0.49281E+00,    0.88986E+00,    0.00000E+00,    0.97971E+01
    0.62690E+00,    0.10692E+01,    0.00000E+00,    0.97949E+01
    0.10618E+01,    0.10138E+01,    0.00000E+00,    0.98107E+01
    0.84433E+00,    0.10829E+01,    0.00000E+00,    0.98104E+01
    0.12658E+01,    0.12245E+01,    0.00000E+00,    0.98283E+01
    0.83713E+00,    0.13932E+01,    0.00000E+00,    0.97694E+01
    0.13261E+01,    0.31034E+00,    0.00000E+00,    0.98596E+01
