 X,    Y,   CH  
    0.20000E+02,    0.16000E+02,    0.79131E+95
    0.22000E+02,    0.16000E+02,    0.92249E+95
    0.24000E+02,    0.16000E+02,    0.11019E+96
    0.26000E+02,    0.16000E+02,    0.13528E+96
    0.28000E+02,    0.16000E+02,    0.17103E+96
    0.30000E+02,    0.16000E+02,    0.22281E+96
    0.32000E+02,    0.16000E+02,    0.29871E+96
    0.34000E+02,    0.16000E+02,    0.41088E+96
    0.36000E+02,    0.16000E+02,    0.57751E+96
    0.38000E+02,    0.16000E+02,    0.82578E+96
    0.40000E+02,    0.16000E+02,    0.11961E+97
    0.42000E+02,    0.16000E+02,    0.17489E+97
    0.44000E+02,    0.16000E+02,    0.25738E+97
    0.46000E+02,    0.16000E+02,    0.38045E+97
    0.48000E+02,    0.16000E+02,    0.56403E+97
    0.50000E+02,    0.16000E+02,    0.83787E+97
    0.00000E+00,    0.18000E+02,    0.16783E+96
    0.20000E+01,    0.18000E+02,    0.14740E+96
    0.40000E+01,    0.18000E+02,    0.14343E+96
    0.60000E+01,    0.18000E+02,    0.14439E+96
    0.80000E+01,    0.18000E+02,    0.14870E+96
    0.10000E+02,    0.18000E+02,    0.15603E+96
    0.12000E+02,    0.18000E+02,    0.16642E+96
    0.14000E+02,    0.18000E+02,    0.18026E+96
    0.16000E+02,    0.18000E+02,    0.19824E+96
    0.18000E+02,    0.18000E+02,    0.22153E+96
    0.20000E+02,    0.18000E+02,    0.25199E+96
    0.22000E+02,    0.18000E+02,    0.29250E+96
    0.24000E+02,    0.18000E+02,    0.34759E+96
    0.26000E+02,    0.18000E+02,    0.42420E+96
    0.28000E+02,    0.18000E+02,    0.53297E+96
    0.30000E+02,    0.18000E+02,    0.69009E+96
    0.32000E+02,    0.18000E+02,    0.92006E+96
    0.34000E+02,    0.18000E+02,    0.12597E+97
    0.36000E+02,    0.18000E+02,    0.17643E+97
    0.38000E+02,    0.18000E+02,    0.25162E+97
    0.40000E+02,    0.18000E+02,    0.36385E+97
    0.42000E+02,    0.18000E+02,    0.53141E+97
    0.44000E+02,    0.18000E+02,    0.78158E+97
    0.46000E+02,    0.18000E+02,    0.11549E+98
    0.48000E+02,    0.18000E+02,    0.17121E+98
    0.50000E+02,    0.18000E+02,    0.25432E+98
    0.00000E+00,    0.20000E+02,    0.53997E+96
    0.20000E+01,    0.20000E+02,    0.47423E+96
    0.40000E+01,    0.20000E+02,    0.46144E+96
    0.60000E+01,    0.20000E+02,    0.46447E+96
    0.80000E+01,    0.20000E+02,    0.47826E+96
    0.10000E+02,    0.20000E+02,    0.50162E+96
    0.12000E+02,    0.20000E+02,    0.53469E+96
    0.14000E+02,    0.20000E+02,    0.57855E+96
    0.16000E+02,    0.20000E+02,    0.63527E+96
    0.18000E+02,    0.20000E+02,    0.70831E+96
    0.20000E+02,    0.20000E+02,    0.80319E+96
    0.22000E+02,    0.20000E+02,    0.92855E+96
    0.24000E+02,    0.20000E+02,    0.10979E+97
    0.26000E+02,    0.20000E+02,    0.13321E+97
    0.28000E+02,    0.20000E+02,    0.16631E+97
    0.30000E+02,    0.20000E+02,    0.21400E+97
    0.32000E+02,    0.20000E+02,    0.28368E+97
    0.34000E+02,    0.20000E+02,    0.38653E+97
    0.36000E+02,    0.20000E+02,    0.53928E+97
    0.38000E+02,    0.20000E+02,    0.76698E+97
    0.40000E+02,    0.20000E+02,    0.11070E+98
    0.42000E+02,    0.20000E+02,    0.16149E+98
    0.44000E+02,    0.20000E+02,    0.23735E+98
    0.46000E+02,    0.20000E+02,    0.35061E+98
    0.48000E+02,    0.20000E+02,    0.51966E+98
    0.50000E+02,    0.20000E+02,    0.77191E+98
