"X","    Y","  V  ","Points:0","Points:1","Points:2"
1.125,8.8791,0.88957,1.125,8.8791,0
1.3125,9.4396,0.9447,1.3125,9.4396,0
4,8.0646,0.80731,4,8.0646,0
4.625,1.125,0.11201,4.625,1.125,0
0.5,0.49999,0.049212,0.5,0.49999,0
0.025246,3.9755,0.35458,0.025246,3.9755,0
0.06684,3.8687,0.35189,0.06684,3.8687,0
0.058633,3.6353,0.33954,0.058633,3.6353,0
0.25051,3.7549,0.34823,0.25051,3.7549,0
0.11726,3.4956,0.33004,0.11726,3.4956,0
0.36677,3.3778,0.32216,0.36677,3.3778,0
0.18338,3.3139,0.31609,0.18338,3.3139,0
0.54799,4.0131,0.37048,0.54799,4.0131,0
0.091691,3.2069,0.30704,0.091691,3.2069,0
0.74425,4.1312,0.38706,0.74425,4.1312,0
0.2495,3.0071,0.29002,0.2495,3.0071,0
0.12475,2.8535,0.27607,0.12475,2.8535,0
0.062375,2.7017,0.26216,0.062375,2.7017,0
0.53019,2.9401,0.28478,0.53019,2.9401,0
1.586,2.7603,0.27154,1.586,2.7603,0
0.29628,2.8209,0.27332,0.29628,2.8209,0
0.18713,2.9303,0.28306,0.18713,2.9303,0
1.087,1.921,0.18878,1.087,1.921,0
1.7684,1.3001,0.12844,1.7684,1.3001,0
0.25,0.24999,0.024603,0.25,0.24999,0
0.14655,6.1781,0.6494,0.14655,6.1781,0
0.073277,6.2391,0.65295,0.073277,6.2391,0
0.036638,6.1946,0.65087,0.036638,6.1946,0
0.073277,6.1391,0.64832,0.073277,6.1391,0
0.061418,6.069,0.64609,0.061418,6.069,0
0.024779,6.0245,0.64533,0.024779,6.0245,0
0.10399,6.1236,0.6475,0.10399,6.1236,0
0.17179,6.0793,0.64508,0.17179,6.0793,0
0.25596,6.0099,0.64112,0.25596,6.0099,0
0.28905,6.0402,0.64115,0.28905,6.0402,0
0.14453,6.3451,0.65879,0.14453,6.3451,0
0.3525,6.0867,0.64138,0.3525,6.0867,0
1.1763,7.1725,0.72332,1.1763,7.1725,0
0.94553,6.436,0.65608,0.94553,6.436,0
0.072264,6.3726,0.66086,0.072264,6.3726,0
0.036132,6.4364,0.66523,0.036132,6.4364,0
4.5,7.7823,0.77904,4.5,7.7823,0
0.018066,6.4932,0.66928,0.018066,6.4932,0
0.24953,6.1324,0.64582,0.24953,6.1324,0
0.47276,6.593,0.67466,0.47276,6.593,0
0.41263,6.3399,0.65567,0.41263,6.3399,0
1.3766,5.2971,0.53449,1.3766,5.2971,0
3,8.1614,0.81741,3,8.1614,0
0.58813,7.1863,0.72665,0.58813,7.1863,0
1.1883,5.1486,0.51877,1.1883,5.1486,0
0.29406,7.0432,0.71435,0.29406,7.0432,0
0.14703,6.8966,0.7017,0.14703,6.8966,0
0.073516,6.8483,0.69763,0.073516,6.8483,0
0.073516,6.9483,0.70628,0.073516,6.9483,0
0.036758,7.0242,0.71299,0.036758,7.0242,0
0.14703,7.1716,0.72618,0.14703,7.1716,0
1.8776,5.9027,0.59464,1.8776,5.9027,0
0.073516,7.2858,0.73669,0.073516,7.2858,0
0.85656,8.0327,0.80694,0.85656,8.0327,0
0.42828,8.2664,0.82998,0.42828,8.2664,0
4.8125,0.8125,0.080892,4.8125,0.8125,0
4.5,0.5,0.049768,4.5,0.5,0
4.125,0.375,0.037311,4.125,0.375,0
3.587,2.421,0.24095,3.587,2.421,0
3.3125,0.1875,0.01863,3.3125,0.1875,0
4.2935,2.2105,0.2202,4.2935,2.2105,0
3.106,0.77301,0.076767,3.106,0.77301,0
0.54351,1.7105,0.16785,0.54351,1.7105,0
3.5748,1.0543,0.10482,3.5748,1.0543,0
3.9341,1.6324,0.16246,3.9341,1.6324,0
2.7249,0.33963,0.033688,2.7249,0.33963,0
2.2249,0.33963,0.033633,2.2249,0.33963,0
2.5368,1.8503,0.18341,2.5368,1.8503,0
3.75,9.5,0.95028,3.75,9.5,0
4.625,9.4375,0.94401,4.625,9.4375,0
4.125,9.625,0.96269,4.125,9.625,0
2.75,9.0807,0.9088,2.75,9.0807,0
2.0312,9.2601,0.92679,2.0312,9.2601,0
4.375,9.0625,0.90668,4.375,9.0625,0
4.5,8.2661,0.82732,4.5,8.2661,0
0.42828,7.7746,0.78249,0.42828,7.7746,0
0.036758,7.4011,0.74737,0.036758,7.4011,0
4.75,7.3911,0.73993,4.75,7.3911,0
2.3381,7.2758,0.73021,2.3381,7.2758,0
1.0754,5.2102,0.52824,1.0754,5.2102,0
4.625,6.8448,0.68527,4.625,6.8448,0
4.4375,6.2672,0.62739,4.4375,6.2672,0
4.4524,5.3424,0.53445,4.4524,5.3424,0
3.1549,6.3743,0.63885,3.1549,6.3743,0
1.207,4.905,0.48822,1.207,4.905,0
3.5299,5.7795,0.57867,3.5299,5.7795,0
1.0974,4.8745,0.48344,1.0974,4.8745,0
1.0614,4.7415,0.46533,1.0614,4.7415,0
