  x,     y,   corriente
    0.59155E+01,    0.64719E+02,    0.15156E-13
    0.68381E+01,    0.63642E+02,    0.16422E-13
    0.61798E+01,    0.62710E+02,    0.14665E-13
    0.28823E+00,    0.38279E+02,    0.55479E-14
    0.19941E+01,    0.37360E+02,    0.10219E-13
    0.17977E+01,    0.37810E+02,    0.83288E-14
    0.54497E+01,    0.39487E+02,    0.13165E-13
    0.56263E+01,    0.39960E+02,    0.13770E-13
    0.57076E+01,    0.39682E+02,    0.14431E-13
    0.36280E+01,    0.36934E+02,    0.12647E-13
    0.38066E+01,    0.37597E+02,    0.11444E-13
    0.29074E+01,    0.36790E+02,    0.11927E-13
    0.25500E+01,    0.37347E+02,    0.10474E-13
    0.27319E+01,    0.37818E+02,    0.94125E-14
    0.14227E+02,    0.45741E+02,    0.23100E-13
    0.13942E+02,    0.44790E+02,    0.22262E-13
    0.13304E+02,    0.46323E+02,    0.23232E-13
    0.12617E+02,    0.46066E+02,    0.24117E-13
    0.12856E+02,    0.44633E+02,    0.22883E-13
    0.12333E+02,    0.45103E+02,    0.22987E-13
    0.12318E+02,    0.45588E+02,    0.24188E-13
    0.19789E+02,    0.50465E+02,    0.21539E-13
    0.19656E+02,    0.52155E+02,    0.21465E-13
    0.21530E+02,    0.49128E+02,    0.20972E-13
    0.21352E+02,    0.53875E+02,    0.20870E-13
    0.24333E+02,    0.49743E+02,    0.20858E-13
    0.24288E+02,    0.52800E+02,    0.20700E-13
    0.16377E+02,    0.56660E+02,    0.21475E-13
    0.17613E+02,    0.55326E+02,    0.21114E-13
    0.17150E+02,    0.58748E+02,    0.20446E-13
    0.19856E+02,    0.58234E+02,    0.20501E-13
    0.20161E+02,    0.55765E+02,    0.21160E-13
    0.17632E+02,    0.52493E+02,    0.21675E-13
    0.16780E+02,    0.53773E+02,    0.22199E-13
    0.16737E+02,    0.51112E+02,    0.22634E-13
    0.15626E+02,    0.51013E+02,    0.22629E-13
    0.15177E+02,    0.53651E+02,    0.22147E-13
    0.14619E+02,    0.52639E+02,    0.23397E-13
    0.14885E+02,    0.51762E+02,    0.23339E-13
    0.78598E+01,    0.61399E+02,    0.16234E-13
    0.70434E+01,    0.61490E+02,    0.16240E-13
    0.57608E+01,    0.61585E+02,    0.14064E-13
    0.11386E+02,    0.58002E+02,    0.20174E-13
    0.12282E+02,    0.58856E+02,    0.20906E-13
    0.13648E+02,    0.58513E+02,    0.20104E-13
    0.13643E+02,    0.57215E+02,    0.21836E-13
    0.12861E+02,    0.55426E+02,    0.22993E-13
    0.10464E+02,    0.59776E+02,    0.19732E-13
    0.97260E+01,    0.60501E+02,    0.18281E-13
    0.12338E+02,    0.50235E+02,    0.25925E-13
    0.12787E+02,    0.50484E+02,    0.25476E-13
    0.12772E+02,    0.51032E+02,    0.25246E-13
    0.14011E+02,    0.51193E+02,    0.23954E-13
    0.13301E+02,    0.51435E+02,    0.24598E-13
    0.13587E+02,    0.52685E+02,    0.23568E-13
    0.13143E+02,    0.52049E+02,    0.24715E-13
    0.12007E+02,    0.50431E+02,    0.26453E-13
    0.14994E+02,    0.50115E+02,    0.23446E-13
    0.14899E+02,    0.49319E+02,    0.23527E-13
    0.14051E+02,    0.50464E+02,    0.24092E-13
    0.13356E+02,    0.50157E+02,    0.24703E-13
    0.71986E+01,    0.41412E+02,    0.18061E-13
    0.75826E+01,    0.41156E+02,    0.17739E-13
    0.82127E+01,    0.40934E+02,    0.18462E-13
    0.78089E+01,    0.40750E+02,    0.18330E-13
    0.55263E+01,    0.40360E+02,    0.14611E-13
    0.64198E+01,    0.41373E+02,    0.17451E-13
    0.64929E+01,    0.41334E+02,    0.17236E-13
    0.64328E+01,    0.40903E+02,    0.16703E-13
    0.64943E+01,    0.41219E+02,    0.17227E-13
    0.56974E+01,    0.40591E+02,    0.14941E-13
    0.58006E+01,    0.40482E+02,    0.15014E-13
    0.59802E+01,    0.40530E+02,    0.15347E-13
    0.11029E+02,    0.46963E+02,    0.26736E-13
    0.10841E+02,    0.47027E+02,    0.26711E-13
    0.11589E+02,    0.46821E+02,    0.25220E-13
    0.12048E+02,    0.46775E+02,    0.25272E-13
    0.12245E+02,    0.47137E+02,    0.25126E-13
    0.10807E+02,    0.47191E+02,    0.27303E-13
    0.11343E+02,    0.45066E+02,    0.23674E-13
    0.11364E+02,    0.45500E+02,    0.24751E-13
    0.99895E+01,    0.44602E+02,    0.24488E-13
    0.10023E+02,    0.44361E+02,    0.23795E-13
    0.10310E+02,    0.44269E+02,    0.23697E-13
    0.17942E+01,    0.62196E+02,    0.83334E-14
    0.54566E+00,    0.62951E+02,    0.93704E-14
    0.10448E+01,    0.62747E+02,    0.98794E-14
    0.27324E+01,    0.62195E+02,    0.94380E-14
    0.48679E+01,    0.62211E+02,    0.12652E-13
    0.51989E+01,    0.61717E+02,    0.13323E-13
    0.44406E+00,    0.38647E+02,    0.45453E-14
    0.51083E+00,    0.38420E+02,    0.56844E-14
    0.11001E+00,    0.38429E+02,    0.55107E-14
    0.11144E+00,    0.38753E+02,    0.40557E-14
    0.22146E+00,    0.38633E+02,    0.43702E-14
    0.11426E+01,    0.39184E+02,    0.38441E-14
    0.42091E+01,    0.38347E+02,    0.11155E-13
    0.51832E+01,    0.39623E+02,    0.13311E-13
    0.49265E+01,    0.39522E+02,    0.12410E-13
    0.25801E+01,    0.38540E+02,    0.82965E-14
    0.58285E+01,    0.61082E+02,    0.13691E-13
    0.10305E+02,    0.57014E+02,    0.22261E-13
    0.10057E+02,    0.57553E+02,    0.20623E-13
    0.10471E+02,    0.58158E+02,    0.21043E-13
    0.10040E+02,    0.58843E+02,    0.19252E-13
    0.75127E+01,    0.60081E+02,    0.16803E-13
    0.80985E+01,    0.60508E+02,    0.17200E-13
    0.87872E+01,    0.60093E+02,    0.18199E-13
    0.12219E+02,    0.48042E+02,    0.25332E-13
    0.12248E+02,    0.51756E+02,    0.25686E-13
    0.12548E+02,    0.52125E+02,    0.24990E-13
    0.12297E+02,    0.52560E+02,    0.25502E-13
    0.13628E+02,    0.48432E+02,    0.24521E-13
    0.13908E+02,    0.49087E+02,    0.23896E-13
    0.12942E+02,    0.48422E+02,    0.24583E-13
    0.13307E+02,    0.49576E+02,    0.24920E-13
    0.96358E+01,    0.44301E+02,    0.23999E-13
    0.90333E+01,    0.42853E+02,    0.21828E-13
    0.91860E+01,    0.42194E+02,    0.20972E-13
    0.10440E+02,    0.41858E+02,    0.21035E-13
    0.11326E+02,    0.42012E+02,    0.20188E-13
    0.11485E+02,    0.42839E+02,    0.22068E-13
    0.84622E+01,    0.42391E+02,    0.21122E-13
    0.82657E+01,    0.42566E+02,    0.20697E-13
    0.88061E+01,    0.42715E+02,    0.21577E-13
    0.88034E+01,    0.42456E+02,    0.20562E-13
    0.85816E+01,    0.42845E+02,    0.21287E-13
    0.82748E+01,    0.42725E+02,    0.21015E-13
    0.79451E+01,    0.42280E+02,    0.20333E-13
    0.63379E+01,    0.41585E+02,    0.17910E-13
    0.63705E+01,    0.41571E+02,    0.17776E-13
    0.62851E+01,    0.41574E+02,    0.17825E-13
    0.63152E+01,    0.41569E+02,    0.17747E-13
    0.63473E+01,    0.41455E+02,    0.17611E-13
    0.63722E+01,    0.41537E+02,    0.17795E-13
    0.69994E+01,    0.41388E+02,    0.18251E-13
    0.71953E+01,    0.41582E+02,    0.18194E-13
    0.82584E+01,    0.41674E+02,    0.19724E-13
    0.81390E+01,    0.41402E+02,    0.18280E-13
    0.80093E+01,    0.41916E+02,    0.19218E-13
    0.77787E+01,    0.41908E+02,    0.19786E-13
    0.76259E+01,    0.41707E+02,    0.18769E-13
    0.77370E+01,    0.41443E+02,    0.19166E-13
    0.55683E+01,    0.40583E+02,    0.14907E-13
    0.55011E+01,    0.40504E+02,    0.14297E-13
    0.54008E+01,    0.40298E+02,    0.13953E-13
    0.61576E+01,    0.40781E+02,    0.16190E-13
    0.60186E+01,    0.40684E+02,    0.15491E-13
    0.66114E+01,    0.41168E+02,    0.16890E-13
    0.69286E+01,    0.41058E+02,    0.17573E-13
    0.67445E+01,    0.40889E+02,    0.16530E-13
    0.65972E+01,    0.40974E+02,    0.16895E-13
    0.68937E+01,    0.41261E+02,    0.17384E-13
    0.67239E+01,    0.41286E+02,    0.17742E-13
    0.11083E+02,    0.46709E+02,    0.25908E-13
    0.11359E+02,    0.46602E+02,    0.25927E-13
    0.11375E+02,    0.46277E+02,    0.25023E-13
    0.10020E+02,    0.45298E+02,    0.25474E-13
    0.10975E+02,    0.44906E+02,    0.24331E-13
    0.10851E+02,    0.44536E+02,    0.23384E-13
    0.10505E+02,    0.44518E+02,    0.23938E-13
    0.68385E+01,    0.59416E+02,    0.17032E-13
    0.66538E+01,    0.59604E+02,    0.15687E-13
    0.22252E+00,    0.62635E+02,    0.90886E-14
    0.13900E+01,    0.62101E+02,    0.81948E-14
    0.10795E+01,    0.62318E+02,    0.78085E-14
    0.30860E+01,    0.61996E+02,    0.10447E-13
    0.20004E+01,    0.61955E+02,    0.83874E-14
    0.23808E+01,    0.61940E+02,    0.91667E-14
    0.17520E+00,    0.38891E+02,    0.30955E-14
    0.74305E+00,    0.38410E+02,    0.56651E-14
    0.89017E+00,    0.38646E+02,    0.47946E-14
    0.16034E+01,    0.39032E+02,    0.53102E-14
    0.20048E+01,    0.38055E+02,    0.83649E-14
    0.23975E+01,    0.38372E+02,    0.78187E-14
    0.23832E+01,    0.38076E+02,    0.91491E-14
    0.11501E+01,    0.39282E+02,    0.34519E-14
    0.43257E+01,    0.40383E+02,    0.12112E-13
    0.33753E+01,    0.39823E+02,    0.93471E-14
    0.34354E+01,    0.39819E+02,    0.95391E-14
    0.38153E+01,    0.38913E+02,    0.10037E-13
    0.40599E+01,    0.39043E+02,    0.11143E-13
    0.24645E+01,    0.38795E+02,    0.74777E-14
    0.17255E+01,    0.38995E+02,    0.54512E-14
    0.26165E+01,    0.39315E+02,    0.71678E-14
    0.48275E+01,    0.39869E+02,    0.12347E-13
    0.47650E+01,    0.39682E+02,    0.12309E-13
    0.26864E+01,    0.39199E+02,    0.74730E-14
    0.25762E+01,    0.39104E+02,    0.71790E-14
    0.26243E+01,    0.38948E+02,    0.79221E-14
    0.60663E+01,    0.59812E+02,    0.14828E-13
    0.69717E+01,    0.60299E+02,    0.16123E-13
    0.66349E+01,    0.59966E+02,    0.15736E-13
    0.67411E+01,    0.60817E+02,    0.14968E-13
    0.62070E+01,    0.60787E+02,    0.15149E-13
    0.60603E+01,    0.60361E+02,    0.14181E-13
    0.62575E+01,    0.60059E+02,    0.15337E-13
    0.57873E+01,    0.59835E+02,    0.14816E-13
    0.56945E+01,    0.59657E+02,    0.14402E-13
    0.54246E+01,    0.60854E+02,    0.13626E-13
    0.71293E+01,    0.59380E+02,    0.16958E-13
    0.75236E+01,    0.59560E+02,    0.16853E-13
    0.10848E+02,    0.47345E+02,    0.27399E-13
    0.12087E+02,    0.48407E+02,    0.26194E-13
    0.11705E+02,    0.49792E+02,    0.26843E-13
    0.11251E+02,    0.49881E+02,    0.28030E-13
    0.11083E+02,    0.50082E+02,    0.28250E-13
    0.11086E+02,    0.49929E+02,    0.28193E-13
    0.11472E+02,    0.50613E+02,    0.27496E-13
    0.11259E+02,    0.50671E+02,    0.27674E-13
    0.10859E+02,    0.55468E+02,    0.23360E-13
    0.10526E+02,    0.55480E+02,    0.23918E-13
    0.84822E+01,    0.43101E+02,    0.22216E-13
    0.92466E+01,    0.43656E+02,    0.23050E-13
    0.90913E+01,    0.43556E+02,    0.23156E-13
    0.98120E+01,    0.43929E+02,    0.23058E-13
    0.95895E+01,    0.43839E+02,    0.23540E-13
    0.94746E+01,    0.43624E+02,    0.22768E-13
    0.92117E+01,    0.43816E+02,    0.23429E-13
